campo,tipo,descripcion
id_area_verde,Texto,Identificador único generado para el proyecto con formato AV000001.
nombre,Texto,Nombre del área verde cuando está disponible; valores vacíos o 0 se normalizaron como nulos.
categoria_fuente,Texto,Categoría original del Inventario de Áreas Verdes.
subcategoria_fuente,Texto,Subcategoría original del Inventario de Áreas Verdes.
tipo_analitico,Texto,Clasificación analítica derivada de la categoría y subcategoría de la fuente.
usar_cobertura_verde,Sí/No,Indica si el registro puede utilizarse en análisis de cobertura verde.
usar_oferta_recreativa,Sí/No,Indica si el registro puede utilizarse como oferta verde recreativa.
revision_manual,Sí/No,Indica si el registro requiere revisión antes de utilizarse en determinados análisis.
motivo_criterio,Texto,Justificación de la regla de clasificación aplicada al registro.
area_m2,Decimal,Superficie geodésica calculada en metros cuadrados; nula cuando no existe geometría.
area_ha,Decimal,Superficie geodésica calculada en hectáreas; nula cuando no existe geometría.
geometry,GeoJSON,Geometría Polygon o MultiPolygon en WGS84; nula para los 56 registros sin geometría disponible en la fuente.
