id_area_verde,nombre,categoria_fuente,subcategoria_fuente,tipo_analitico,usar_cobertura_verde,usar_oferta_recreativa,revision_manual,motivo_criterio,area_m2,area_ha
AV000001,,Áreas verdes complementarias o ligadas a la red vial,"Veg. Arbórea, arbustiva y herbácea de glorietas",cobertura_verde_vial,True,False,False,Vegetación asociada a glorietas viales,2270.59,0.2271
AV000002,,Áreas verdes urbanas fragmentadas,Terrenos baldíos,revisar,False,False,True,Un terreno baldío no se considera automáticamente cobertura verde útil ni oferta recreativa,27120.04,2.712
AV000003,CAMELLON ANILLO PERIFERICO (Blvd. ADOLFO LOPEZ MAT,Áreas verdes complementarias o ligadas a la red vial,"Veg. Arbórea, arbustiva y herbácea de glorietas",cobertura_verde_vial,True,False,False,Vegetación asociada a glorietas viales,86421.77,8.6422
AV000004,,Equipamientos urbanos con vegetación,Instituciones académicas públicas,vegetacion_en_equipamiento,True,False,False,Vegetación asociada a instituciones educativas; no se asume acceso recreativo público,28451.43,2.8451
AV000005,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,1566.7,0.1567
AV000006,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,2897.21,0.2897
AV000007,,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,3562.27,0.3562
AV000008,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,8964.98,0.8965
AV000009,,Equipamientos urbanos con vegetación,Deportivos,revisar,True,False,True,Puede representar oferta recreativa pero requiere verificar acceso y evitar duplicidad con otras fuentes deportivas,13408.03,1.3408
AV000010,CAMELLON AV. GPE. I. RAMIREZ,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,2604.12,0.2604
AV000011,,Áreas verdes urbanas fragmentadas,Terrenos baldíos,revisar,False,False,True,Un terreno baldío no se considera automáticamente cobertura verde útil ni oferta recreativa,4903.42,0.4903
AV000012,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,5151.6,0.5152
AV000013,,Equipamientos urbanos con vegetación,Deportivos,revisar,True,False,True,Puede representar oferta recreativa pero requiere verificar acceso y evitar duplicidad con otras fuentes deportivas,5083.67,0.5084
AV000014,PREPARATORIA NO. 1,Áreas verdes urbanas fragmentadas,Terrenos baldíos,revisar,False,False,True,Un terreno baldío no se considera automáticamente cobertura verde útil ni oferta recreativa,33296.98,3.3297
AV000015,,Áreas verdes urbanas fragmentadas,Terrenos baldíos,revisar,False,False,True,Un terreno baldío no se considera automáticamente cobertura verde útil ni oferta recreativa,15583.88,1.5584
AV000016,CAMELLON AV. GPE. I. RAMIREZ,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,1056.12,0.1056
AV000017,,Equipamientos urbanos con vegetación,Deportivos,revisar,True,False,True,Puede representar oferta recreativa pero requiere verificar acceso y evitar duplicidad con otras fuentes deportivas,3543.77,0.3544
AV000018,CAMELLON AV. GPE. I. RAMIREZ,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,727.92,0.0728
AV000019,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,46902.72,4.6903
AV000020,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,4489.05,0.4489
AV000021,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,4646.95,0.4647
AV000022,CAMELLON AV. GPE. I. RAMIREZ,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,676.73,0.0677
AV000023,CAMELLON AV. GPE. I. RAMIREZ,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,709.85,0.071
AV000024,CAMELLON AV. GPE. I. RAMIREZ,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,816.08,0.0816
AV000025,CAMELLON AV. GPE. I. RAMIREZ,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,983.94,0.0984
AV000026,,Áreas verdes complementarias o ligadas a la red vial,"Veg. Arbórea, arbustiva y herbácea de glorietas",cobertura_verde_vial,True,False,False,Vegetación asociada a glorietas viales,19667.68,1.9668
AV000027,SUELO DE CONSERVACION,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,2119.99,0.212
AV000028,SUELO DE CONSERVACION,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,3635.31,0.3635
AV000029,SUELO DE CONSERVACION,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,1063.78,0.1064
AV000030,SUELO DE CONSERVACION,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,2803.03,0.2803
AV000031,SUELO DE CONSERVACION,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,3943.36,0.3943
AV000032,SUELO DE CONSERVACION,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,1030.69,0.1031
AV000033,SUELO DE CONSERVACION,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,2788.33,0.2788
AV000034,SUELO DE CONSERVACION,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,948.65,0.0949
AV000035,SUELO DE CONSERVACION,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,4106.45,0.4106
AV000036,SUELO DE CONSERVACION,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,1596.14,0.1596
AV000037,,Áreas con vegetación reminisciente,,revisar,False,False,True,Registro sin subcategoría; no se asigna uso analítico automáticamente,4541.34,0.4541
AV000038,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,2906.34,0.2906
AV000039,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,1592.01,0.1592
AV000040,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,126.14,0.0126
AV000041,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,111.38,0.0111
AV000042,,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,3677.77,0.3678
AV000043,,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,1442.69,0.1443
AV000044,CAMELLON AV. GPE. I. RAMIREZ,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,932.73,0.0933
AV000045,CAMELLON AV. GPE. I. RAMIREZ,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,75.77,0.0076
AV000046,CAMELLON AV. GPE. I. RAMIREZ,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,612.91,0.0613
AV000047,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,147.18,0.0147
AV000048,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,298.37,0.0298
AV000049,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,342.39,0.0342
AV000050,CAMPOS DE FUTBOL JUNTO A LA PREPARATORIA NO. 1,Equipamientos urbanos con vegetación,Instituciones académicas públicas,vegetacion_en_equipamiento,True,False,False,Vegetación asociada a instituciones educativas; no se asume acceso recreativo público,21213.09,2.1213
AV000051,BOSQUE DE NATIVITAS,Áreas con categoría de protección,AVA,proteccion_ecologica,True,False,False,Área de Valor Ambiental; se considera cobertura de protección ecológica pero no se asume acceso recreativo,224124.33,22.4124
AV000052,JARDIN DE LOS ARCOS Y GLORIETA PRGOLAS,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,27851.33,2.7851
AV000053,,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,3231.75,0.3232
AV000054,JARDIN BARANDALES,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,4969.9,0.497
AV000055,,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,9830.28,0.983
AV000056,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,1970.25,0.197
AV000057,BOSQUE DE NATIVITAS,Áreas con categoría de protección,AVA,proteccion_ecologica,True,False,False,Área de Valor Ambiental; se considera cobertura de protección ecológica pero no se asume acceso recreativo,48338.77,4.8339
AV000058,,Equipamientos urbanos con vegetación,Deportivos,revisar,True,False,True,Puede representar oferta recreativa pero requiere verificar acceso y evitar duplicidad con otras fuentes deportivas,18898.73,1.8899
AV000059,,Equipamientos urbanos con vegetación,Panteones,vegetacion_en_equipamiento,True,False,False,Vegetación asociada a panteones; no se considera oferta verde recreativa,146430.29,14.643
AV000060,PLAZA DE LOS BALCONES,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,1575.83,0.1576
AV000061,JARDIN JUAREZ Y MORELOS,Plazas y jardines,Jardines públicos,oferta_verde_recreativa,True,True,False,Jardín de acceso público,6139.21,0.6139
AV000062,JARDIN JUAREZ Y MORELOS,Plazas y jardines,Jardines públicos,oferta_verde_recreativa,True,True,False,Jardín de acceso público,2552.84,0.2553
AV000063,JARDIN FTE. A CORREOS,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,3575.48,0.3575
AV000064,CAMELLON AV. GPE. I. RAMIREZ,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,1006.67,0.1007
AV000065,JARDIN DE LOS ARCOS Y GLORIETA PRGOLAS,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,157.04,0.0157
AV000066,JARDIN DE LOS ARCOS Y GLORIETA PRGOLAS,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,254.21,0.0254
AV000067,JARDIN DE LOS ARCOS Y GLORIETA PRGOLAS,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,300.56,0.0301
AV000068,JARDIN DE LOS ARCOS Y GLORIETA PRGOLAS,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,300.56,0.0301
AV000069,JARDIN DE LOS ARCOS Y GLORIETA PRGOLAS,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,112.13,0.0112
AV000070,JARDIN DE LOS ARCOS Y GLORIETA PRGOLAS,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,132.31,0.0132
AV000071,JARDIN DE LOS ARCOS Y GLORIETA PRGOLAS,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,168.85,0.0169
AV000072,,Equipamientos urbanos con vegetación,Panteones,vegetacion_en_equipamiento,True,False,False,Vegetación asociada a panteones; no se considera oferta verde recreativa,18481.33,1.8481
AV000073,JARDIN EMBARCADERO FDO. CELADA,Plazas y jardines,Jardines públicos,oferta_verde_recreativa,True,True,False,Jardín de acceso público,1128.27,0.1128
AV000074,CAMELLON AV. PROL. DIVISION DEL NORTE,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,1834.58,0.1835
AV000075,,Equipamientos urbanos con vegetación,Deportivos,revisar,True,False,True,Puede representar oferta recreativa pero requiere verificar acceso y evitar duplicidad con otras fuentes deportivas,21534.56,2.1535
AV000076,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,484.34,0.0484
AV000077,,Equipamientos urbanos con vegetación,Deportivos,revisar,True,False,True,Puede representar oferta recreativa pero requiere verificar acceso y evitar duplicidad con otras fuentes deportivas,11982.0,1.1982
AV000078,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,4280.4,0.428
AV000079,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,10473.77,1.0474
AV000080,SANTIAGO TULYEHUALCO,Equipamientos urbanos con vegetación,Panteones,vegetacion_en_equipamiento,True,False,False,Vegetación asociada a panteones; no se considera oferta verde recreativa,24434.57,2.4435
AV000081,,Equipamientos urbanos con vegetación,Instituciones académicas públicas,vegetacion_en_equipamiento,True,False,False,Vegetación asociada a instituciones educativas; no se asume acceso recreativo público,37862.23,3.7862
AV000082,JARDIN CENTRO DE SANTIAGO TULYEHUALCO,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,3057.19,0.3057
AV000083,JARDIN ATRIO DE IGLESIA SANTIAGO TULYEHUALCO,"Parques, arboledas y alamedas",Parques,oferta_verde_recreativa,True,True,False,Parque destinado al uso recreativo de la población,4085.15,0.4085
AV000084,,Equipamientos urbanos con vegetación,Deportivos,revisar,True,False,True,Puede representar oferta recreativa pero requiere verificar acceso y evitar duplicidad con otras fuentes deportivas,13808.0,1.3808
AV000085,,Equipamientos urbanos con vegetación,Panteones,vegetacion_en_equipamiento,True,False,False,Vegetación asociada a panteones; no se considera oferta verde recreativa,10335.26,1.0335
AV000086,SUELO DE CONSERVACION,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,1159.43,0.1159
AV000087,,Áreas verdes complementarias o ligadas a la red vial,"Veg. Arbórea, arbustiva y herbácea de glorietas",cobertura_verde_vial,True,False,False,Vegetación asociada a glorietas viales,1944.3,0.1944
AV000088,CAMELLON AV. PROL. DIVISION DEL NORTE,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,1308.66,0.1309
AV000089,CAMELLON AV. PROL. DIVISION DEL NORTE,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,338.56,0.0339
AV000090,CAMELLON AV. PROL. DIVISION DEL NORTE,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,337.27,0.0337
AV000091,CAMELLON AV. PROL. DIVISION DEL NORTE,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,2098.49,0.2098
AV000092,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,1111.36,0.1111
AV000093,,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,2989.62,0.299
AV000094,CAMELLON AV. GPE. I. RAMIREZ,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,307.38,0.0307
AV000095,CAMELLON AV. GPE. I. RAMIREZ,Áreas verdes complementarias o ligadas a la red vial,Camellones centrales y laterales,cobertura_verde_vial,True,False,False,Vegetación asociada a camellones de infraestructura vial,621.55,0.0622
AV000096,,Equipamientos urbanos con vegetación,Deportivos,revisar,True,False,True,Puede representar oferta recreativa pero requiere verificar acceso y evitar duplicidad con otras fuentes deportivas,6776.14,0.6776
