comp_cine_id,comp_cine_nombre,comp_cine_fecha_fundacion,comp_cine_adscripcion,comp_cine_npantallas,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,comp_cine_calle_numero,comp_cine_colonia,comp_cine_cp,comp_cine_telfono1,comp_cine_pagina_web,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
572,"Cinemex Portal Vallejo","1000-01-01","Cadena Mexicana de Exhibición, S.A. de C.V.","8",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Calz. Vallejo 304","Col. San Francisco Xocotitla","02960","","",-99.14496,19.46816,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=572","2022-09-28 03:27:07-05"
457,"Cinépolis Vía Vallejo","1000-01-01","Cinépolis de México, S.A. de C.V.","10",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Calz. Vallejo 1090","Col. Nueva Industrial Vallejo","02300","","",-99.15325,19.48799,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=457","2022-09-30 03:32:53-05"
458,"Cinépolis VIP Vía Vallejo","1000-01-01","Cinépolis de México, S.A. de C.V.","4",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Calz. Vallejo 1090","Col. Nueva Industrial Vallejo","02300","","",-99.15341,19.48821,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=458","2022-09-28 09:35:24-05"
1102,"Cinépolis Plaza Cuitláhuac","1000-01-01","Cinépolis de México, S.A. de C.V.","7",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Av. Cuitláhuac 2309","Col. San Salvador Xochimamas","02870","","",-99.18417,19.4841,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=1102","2022-09-28 09:30:33-05"
459,"Cinépolis Plaza Parque Jardín","1000-01-01","Cinépolis de México, S.A. de C.V.","8",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Av. Jardín 330","Col. Del Gas","02950","","",-99.16037,19.46854,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=459","2023-11-22 04:24:22-06"
1075,"Cinemex Ferrería","1000-01-01","","0",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Eje 4 norte 251 (Antigua Calz.de Guadalupe) ","Col. Azcapotzalco","02020","","",-99.17944,19.48917,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=1075","2022-10-10 04:25:57-05"
456,"Cinépolis Town Center El Rosario","1000-01-01","Cinépolis de México, S.A. de C.V.","16",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Av. El Rosario 1025","Col. El Rosario","02100","","",-99.20327,19.50219,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=456","2022-05-18 06:42:21-05"
455,"Cinemex Rosario","1000-01-01","Cadena Mexicana de Exhibición, S.A. de C.V.","10",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Av. Cultura Nte. 902","Habitacional El Rosario, Centro","02700","","",-99.20044,19.50605,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=455","2022-09-27 06:42:36-05"
460,"CineTop Azcapotzalco","1000-01-01","Xtra Cinemas, S.A. de C.V.","8",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Av. Aquiles Serdán 400","Col. Nextengo","02070","","",-99.18992,19.47392,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=460","2022-10-17 04:26:13-05"
1001,"Cinedot Azcapotzalco","2022-06-23","Interbakers, S.A. de C.V.","5",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Av. Azcapotzalco 527","Col. Azcapotzalco","02000","","",-99.18661,19.47792,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=1001","2022-08-23 06:42:56-05"
454,"Cinemex Clavería","1000-01-01","Cadena Mexicana de Exhibición, S.A. de C.V.","6",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Av. Egipto 142","Col.  Clavería","02080","","",-99.18193,19.46383,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=454","2022-09-26 08:00:00-05"
90,"Cinemex Gran Sur","1000-01-01","Cadena Mexicana de Exhibición, S.A. de C.V.","10",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Periférico Sur 5550","Col. Pedregal de Carrasco","04300","","",-99.16612,19.30442,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=90","2022-09-27 07:02:44-05"
92,"Cinépolis Perisur","1000-01-01","Cinépolis de México, S.A. de C.V.","18",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Anillo Periférico Sur 4690","Col. Jardines del Pedregal","04500","","",-99.18999,19.30452,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=92","2022-09-28 09:58:44-05"
91,"Cinépolis Miramontes","1000-01-01","Cinépolis de México, S.A. de C.V.","15",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Canal de Miramontes 2053 ","Col. Los Girasoles III","04920","","",-99.12452,19.31017,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=91","2022-09-30 03:54:06-05"
88,"Cinépolis VIP Perisur","1000-01-01","Cinépolis de México, S.A. de C.V.","4",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Anillo Periférico Sur 4690","Col. Jardines del Pedregal","04500","","",-99.18998,19.30454,"http://sic.gob.mx/ficha.php?table=comp_cine&table_id=88","2022-09-30 03:57:30-05"
