teatro_id,teatro_nombre,teatro_fecha_fundacion,teatro_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,teatro_calle_numero,teatro_colonia,teatro_cp,teatro_telefono1,pagina_web,facebook,twitter,instagram,email,gmaps_longitud,gmaps_latitud,teatro_aforo,teatro_tipo_escenario,link_sic,fecha_mod
474,"Foro Cultural Azcapotzalco","1978-10-04","Delegación Azcapotzalco",9,"Ciudad de México",2,"Azcapotzalco",1,"Azcapotzalco","Av. Cuitláhuac s/n esq. Pino","Col. Liberación","02930","55 5355 0376","https://inba.gob.mx/recinto/696","https://www.facebook.com/Eventos-Foro-Cultural-Azcapotzalco-2095605673989730","foroazcapotzalc","","foroculturalazcapotzalco@hotmail.com",-99.15177,19.4729,872,"semicircular","http://sic.gob.mx/ficha.php?table=teatro&table_id=474","2021-09-20 11:31:18-05"
378,"Teatro La Capilla","1953-01-20","Compañía Los Endebles A.C.",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Madrid 13","Col. Del Carmen Coyoacán","04100","55 3095 4077","https://www.teatrolacapilla.com/","https://www.facebook.com/LaCapillaTeatro","","https://www.instagram.com/teatrolacapilla/","info@teatrolacapilla.com",-99.16405,19.35738,100,"italiano","http://sic.gob.mx/ficha.php?table=teatro&table_id=378","2025-03-14 15:03:16-06"
771,"Sala Héctor Mendoza","2009-01-01","Secretaría de Cultura/INBA/Compañía Nacional de Teatro",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Francisco Sosa 159","Barrio Santa Catarina","04000","55 8647 5621","http://www.cnteatro.bellasartes.gob.mx","https://www.facebook.com/CNTeatromx/","CNTeatromx","https://www.instagram.com/cnteatromx/","publicos.cnteatro@inba.gob.mx",-99.16975,19.34949,96,"italiano","http://sic.gob.mx/ficha.php?table=teatro&table_id=771","2025-09-04 19:28:58-06"
458,"Teatro Santa Catarina","1970-08-05","UNAM / Dirección de Teatro",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Jardín de Santa Catarina 10 esq. Progreso y Francisco Sosa","Barrio de Santa Catarina","04000","55 5658 0560","http://www.teatro.unam.mx/wwwteatrounam/Paginas/stacatarina.html","","","","contactoteatrounam@gmail.com",-99.17127,19.34956,80,"multimodal","http://sic.gob.mx/ficha.php?table=teatro&table_id=458","2021-10-28 12:37:39-05"
952,"Foro teatral del Albergue del Arte","2009-01-01","Asociación Civil",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Alberto Zamora 32","Col. Villa Coyoacán","40000","55 5554 6228","","https://www.facebook.com/AlberguedelArte?rf=1463106837251971","tadecoteatro","","tadecos08@hotmail.com",-99.16328,19.34598,0,"","http://sic.gob.mx/ficha.php?table=teatro&table_id=952","2021-10-01 09:34:08-05"
915,"Foro Viena","2017-03-31","",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Centenario 159","Col. Del Carmen","04100 ","55 2155 9308","https://www.facebook.com/FOROVIENACOYOACAN/","","","","",-99.1633,19.35671,250,"italiano","http://sic.gob.mx/ficha.php?table=teatro&table_id=915","2023-12-05 13:21:14-06"
487,"Foro Sor Juana Inés de la Cruz","1979-02-26","UNAM/Centro Cultural Universitario",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Av. Insurgentes Sur 3000","Col. Ciudad Universitaria","04510","55 5665 5021","https://www.fundacionunam.org.mx/donde-paso/celebra-la-unam-40-anos-del-foro-sor-juana-ines-y-del-teatro-juan-ruiz-de-alarcon/","","","","teatrounam@hotmail.com y mergold@servidor.unam.mx",-99.18465,19.31354,180,"multimodal","http://sic.gob.mx/ficha.php?table=teatro&table_id=487","2021-10-01 08:43:59-05"
481,"Espacio C Héctor Azar","2005-04-02","Centro de Arte Dramático, A.C.",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Av. Centenario 26 esq. Belisario Domínguez","Col. Del Carmen","04000","55 5554 9091","https://cadac1975.wordpress.com/espacio-c-hector-azar/","","","","cadac1975@hotmail.com",-99.16409,19.35053,280,"escénico","http://sic.gob.mx/ficha.php?table=teatro&table_id=481","2021-09-29 15:13:42-05"
978,"Cirkóptero (espacio de creación, entrenamiento y presentación de artes circenses)","2019-05-04","",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Xicoténcatl 110","Col. Del Carmen","04100","55 7030 6833","http://www.cirkoptero.com.mx","https://www.facebook.com/Cirkoptero/","","","crucesintervencion.ac@gmail.com",-99.15343,19.35474,30,"multimodal","http://sic.gob.mx/ficha.php?table=teatro&table_id=978","2021-09-24 06:25:17-05"
660,"Aula Teatro Escenario Justo Sierra de la Facultad de Filosofía y Letras","1960-01-01","Colegio de Literatura Dramática y Teatro/UNAM",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","","Cd. Universitaria","04510","55 5622 1884","http://teatro.filos.unam.mx/inicio/estudiantes/area-de-teatros/","","","","teatro@filos.unam.mx",-99.18727,19.33443,50,"","http://sic.gob.mx/ficha.php?table=teatro&table_id=660","2021-09-29 07:45:04-05"
486,"Foro Rodolfo Usigli","1989-07-01","SOGEM/Centro Cultural José María Fernández Unsaín",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Héroes del 47","Col. San Mateo Churubusco","04120","55 5337 0230 ext. 819","https://www.sogem.org/foro-rodolfo-usigli","","","","steatro2@sogem.org.mx ",-99.15025,19.3513,170,"isabelino","http://sic.gob.mx/ficha.php?table=teatro&table_id=486","2023-12-05 13:32:20-06"
466,"Teatro de las Artes","1994-11-24","Secretaría de Cultura/Centro Nacional de las Artes (CENART)",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Av. Río Churubusco 79","Col. Country Club","04220","55 4155 0000 ext. 1273","http://www.cenart.gob.mx/ubicaciones/teatro-de-las-artes/","","","","edelavega@cultura.gob.mx; vjuradol@cultura.gob.mx; aceballosr@cultura.gob.mx; juribec@cultra.gob.mx",-99.13892,19.35628,565,"italiano","http://sic.gob.mx/ficha.php?table=teatro&table_id=466","2026-01-06 14:28:44-06"
658,"Aula Teatro Enrique Ruelas de la Facultad de Filosofía y Letras","1960-01-01","UNAM/Colegio de Literatura Dramática y Teatro",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Circuito Interior s/n, edif.Adolfo Sánchez Vázquez","Col. Ciudad Universitaria","04510","55 5622 1884","http://www.filos.unam.mx/LICENCIATURA/Teatro","https://www.facebook.com/facultaddefilosofiayletras/","filos_unam","","teatro@filos.unam.mx",-99.1873,19.33439,50,"","http://sic.gob.mx/ficha.php?table=teatro&table_id=658","2021-09-29 07:41:26-05"
471,"Foro Experimental Black Box","1995-07-15","Secretaría de Cultura /CENART/Escuela Nacional de Danza Clásica y Contemporánea",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Río Churubusco s/n esq. Calz. de Tlalpan","Col. Country Club","04220","55 4155 0000","http://www.cenart.gob.mx/ubicaciones/foro-experimental-black-box/","https://www.facebook.com/cenartmexico/","","","",-99.14159,19.35626,90,"multimodal","http://sic.gob.mx/ficha.php?table=teatro&table_id=471","2021-10-01 08:35:11-05"
701,"Teatro Bar El Vicio ","2005-09-02","",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Madrid 13","Col. Del Carmen","04000","55 5659 1139","http://www.elvicio.com.mx/","https://www.facebook.com/teatrobarelvicio?fref=ts","","","",-99.1642,19.35739,0,"italiano","http://sic.gob.mx/ficha.php?table=teatro&table_id=701","2021-09-14 05:38:10-05"
679,"Foro Enrique Alonso","1994-09-10","Casa de Cultura Raúl Anguiano",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Rey Nezahualcóyotl esq. Yaquis s/n ","Col. Ajusco Huayamilpas","04300","55 5617 9189","http://cdmxtravel.com/es/lugares/casa-cultural-raul-anguiano.html","","","","casaculturalraulanguiano@hotmail.com",-99.1511,19.32275,280,"","http://sic.gob.mx/ficha.php?table=teatro&table_id=679","2021-10-01 07:53:59-05"
963,"Foro del Centro Cultural Los Talleres","1993-01-01","",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Francisco Sosa 29","Del Carmen","04000","55 5658 7288","http://www.lostalleres.com.mx","https://www.facebook.com/lostalleresoficial/","lostalleres","","talleres@lostalleres.com.mx",-99.167,19.34944,60,"italiano","http://sic.gob.mx/ficha.php?table=teatro&table_id=963","2025-09-22 14:16:20-06"
485,"Teatro Dr. Jorge Flores Valdés","1992-12-12","UNAM/Centro Cultural Universitario/Museo de las Ciencias Universum",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Circuito Mario de la Cueva s/n ","Ciudad Universitaria","04510","55 5622 7260, 55 5622 7287","http://www.universum.unam.mx","","","","centrotelefonico@dgdc.unam.mx",-99.18135,19.31109,232,"italiano","http://sic.gob.mx/ficha.php?table=teatro&table_id=485","2023-10-19 08:42:14-06"
492,"Foro Casa del Teatro","1991-03-18","La Casa del Teatro, A.C.",9,"Ciudad de México",3,"Coyoacán",1,"Coyoacán","Vallarta 31-A, Plaza de la Conchita","Col. La Concepción","04020","55 5659 4238  ","https://www.casadelteatro.com.mx/","https://es-la.facebook.com/LaCasadelTeatro/","","","casadelteatrocoordinacion@gmail.com; foros.tallereslacasadelteatro@gmail.com",-99.15991,19.34688,50,"italiano","http://sic.gob.mx/ficha.php?table=teatro&table_id=492","2022-01-21 13:19:31-06"
