codigo_scian,categoria_proyecto,subcategoria,alcance,registros,justificacion
461110,Primera necesidad,"Abarrotes, ultramarinos y misceláneas",Principal,41764,Actividad relacionada con acceso a productos de primera necesidad
461121,Primera necesidad,Carnes rojas,Complementario,6417,Actividad relacionada con acceso a productos de primera necesidad
461122,Primera necesidad,Carne de aves,Complementario,5962,Actividad relacionada con acceso a productos de primera necesidad
461123,Primera necesidad,Pescados y mariscos,Complementario,642,Actividad relacionada con acceso a productos de primera necesidad
461130,Primera necesidad,Frutas y verduras,Complementario,13100,Actividad relacionada con acceso a productos de primera necesidad
461140,Primera necesidad,"Semillas, granos, especias y chiles secos",Complementario,2498,Actividad relacionada con acceso a productos de primera necesidad
461150,Primera necesidad,"Leche, lácteos y embutidos",Complementario,2771,Actividad relacionada con acceso a productos de primera necesidad
461190,Primera necesidad,Otros alimentos,Complementario,3711,Actividad relacionada con acceso a productos de primera necesidad
462111,Primera necesidad,Supermercado,Principal,411,Actividad relacionada con acceso a productos de primera necesidad
462112,Primera necesidad,Minisúper,Principal,2825,Actividad relacionada con acceso a productos de primera necesidad
464111,Complementario,Farmacia sin minisúper,Complementario,5612,Oferta complementaria relacionada con productos básicos
464112,Complementario,Farmacia con minisúper,Complementario,821,Oferta complementaria relacionada con productos básicos
