id_espacio_publico,id_fuente,parte_original,area_m2,area_ha
EP000001,1,1,23794.97,2.3795
EP000002,1,2,943.32,0.0943
EP000003,1,3,7815.49,0.7815
EP000004,1,4,234.07,0.0234
EP000005,1,5,130.71,0.0131
EP000006,1,6,2230.26,0.223
EP000007,1,7,12664.25,1.2664
EP000008,1,8,500.24,0.05
EP000009,1,9,245.42,0.0245
EP000010,1,10,1849.8,0.185
EP000011,1,11,5427.52,0.5428
EP000012,1,12,296.66,0.0297
EP000013,1,13,75.24,0.0075
EP000014,1,14,818.56,0.0819
EP000015,1,15,540.22,0.054
EP000016,1,16,37.88,0.0038
EP000017,1,17,235.05,0.0235
EP000018,1,18,692.6,0.0693
EP000019,1,19,536.88,0.0537
EP000020,1,20,381.53,0.0382
EP000021,1,21,1747.11,0.1747
EP000022,1,22,4960.72,0.4961
EP000023,1,23,45.15,0.0045
EP000024,1,24,149.17,0.0149
EP000025,1,25,82.54,0.0083
EP000026,1,26,32.51,0.0033
EP000027,1,27,3313.75,0.3314
EP000028,1,28,31221.01,3.1221
EP000029,1,29,1198.97,0.1199
EP000030,1,30,44.48,0.0044
EP000031,1,31,107.38,0.0107
EP000032,1,32,2379.29,0.2379
EP000033,1,33,59.97,0.006
EP000034,1,34,102.92,0.0103
EP000035,1,35,438.08,0.0438
EP000036,1,36,55.22,0.0055
EP000037,1,37,3412.89,0.3413
EP000038,1,38,73.47,0.0073
EP000039,1,39,92.0,0.0092
EP000040,1,40,78.78,0.0079
EP000041,1,41,4396.1,0.4396
EP000042,1,42,42339.64,4.234
EP000043,1,43,54.42,0.0054
EP000044,1,44,120.01,0.012
EP000045,1,45,1395.9,0.1396
EP000046,1,46,23686.76,2.3687
EP000047,1,47,1300.81,0.1301
EP000048,1,48,206.33,0.0206
EP000049,1,49,2338.98,0.2339
EP000050,1,50,99.08,0.0099
EP000051,1,51,341.19,0.0341
EP000052,1,52,357.71,0.0358
EP000053,1,53,313.49,0.0313
EP000054,1,54,221.99,0.0222
EP000055,1,55,80.03,0.008
EP000056,1,56,41122.93,4.1123
EP000057,1,57,139.93,0.014
EP000058,1,58,278.64,0.0279
EP000059,1,59,168.44,0.0168
EP000060,1,60,376.18,0.0376
EP000061,1,61,1059.84,0.106
EP000062,1,62,1379.34,0.1379
EP000063,1,63,5101.89,0.5102
EP000064,1,64,15099.58,1.51
EP000065,1,65,1493.23,0.1493
EP000066,1,66,4152.67,0.4153
EP000067,1,67,23008.46,2.3008
EP000068,1,68,4991.29,0.4991
EP000069,1,69,2871.53,0.2872
EP000070,1,70,11546.36,1.1546
EP000071,1,71,8562.3,0.8562
EP000072,1,72,1162.67,0.1163
EP000073,1,73,7497.75,0.7498
EP000074,1,74,157.63,0.0158
EP000075,1,75,32.65,0.0033
EP000076,1,76,76.26,0.0076
EP000077,1,77,1622.01,0.1622
EP000078,1,78,200.99,0.0201
EP000079,1,79,183.09,0.0183
EP000080,1,80,207328.23,20.7328
EP000081,1,81,23135.37,2.3135
EP000082,1,82,7048.76,0.7049
EP000083,1,83,19885.39,1.9885
EP000084,1,84,9325.07,0.9325
EP000085,1,85,2133.75,0.2134
EP000086,1,86,2451.58,0.2452
EP000087,1,87,122.75,0.0123
EP000088,1,88,54.6,0.0055
EP000089,1,89,20.5,0.002
EP000090,1,90,12.85,0.0013
EP000091,1,91,11.86,0.0012
EP000092,1,92,82.81,0.0083
EP000093,1,93,15.72,0.0016
EP000094,1,94,268.01,0.0268
EP000095,1,95,56.98,0.0057
EP000096,1,96,121.93,0.0122
EP000097,1,97,501.85,0.0502
EP000098,1,98,1802.61,0.1803
EP000099,1,99,873.04,0.0873
EP000100,1,100,20982.59,2.0983
EP000101,1,101,3259.22,0.3259
EP000102,1,102,729.38,0.0729
EP000103,1,103,9000.87,0.9001
EP000104,1,104,3576.27,0.3576
EP000105,1,105,832.31,0.0832
EP000106,1,106,50789.24,5.0789
EP000107,1,107,14923.25,1.4923
EP000108,1,108,260.31,0.026
EP000109,1,109,1243.03,0.1243
EP000110,1,110,8431.5,0.8432
EP000111,1,111,1611.38,0.1611
EP000112,1,112,50.85,0.0051
EP000113,1,113,809.35,0.0809
EP000114,1,114,115.25,0.0115
EP000115,1,115,368.66,0.0369
EP000116,1,116,3346.04,0.3346
EP000117,1,117,20.31,0.002
EP000118,1,118,165.01,0.0165
EP000119,1,119,1248.2,0.1248
EP000120,1,120,138.19,0.0138
EP000121,1,121,183.49,0.0183
EP000122,1,122,5013857.52,501.3858
EP000123,1,123,21644.11,2.1644
EP000124,1,124,3911.95,0.3912
EP000125,1,125,18140.38,1.814
EP000126,1,126,95.84,0.0096
EP000127,1,127,1910.83,0.1911
EP000128,1,128,5946.21,0.5946
EP000129,1,129,3285.65,0.3286
EP000130,1,130,86.72,0.0087
EP000131,1,131,44.89,0.0045
EP000132,1,132,3295.35,0.3295
EP000133,1,133,668.67,0.0669
EP000134,1,134,209.7,0.021
