Código SCIAN,Actividad SCIAN encontrada,Subcategoría,Población objetivo estimada,Sector,Alcance,Dedicación a infancias,Regla de inclusión,Registros,Versión SCIAN declarada,Edición DENUE
519121,Bibliotecas y archivos del sector privado,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,4,2018,2019-11
519122,Bibliotecas y archivos del sector público,Biblioteca infantil o juvenil (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,4,2018,2019-11
519122,Bibliotecas y archivos del sector público,Biblioteca infantil o juvenil (por nombre),Probable primera infancia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2019-11
531113,Alquiler sin intermediación de salones para fiestas y convenciones,Salón para fiestas infantiles (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,279,2018,2019-11
531113,Alquiler sin intermediación de salones para fiestas y convenciones,Salón para fiestas infantiles (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2019-11
611111,Escuelas de educación preescolar del sector privado,Preescolar,Primera infancia (0 a 5 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,1502,2018,2019-11
611112,Escuelas de educación preescolar del sector público,Preescolar,Primera infancia (0 a 5 años aprox.),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,1278,2018,2019-11
611121,Escuelas de educación primaria del sector privado,Primaria,Niñez escolar (6 a 11 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,462,2018,2019-11
611122,Escuelas de educación primaria del sector público,Primaria,Niñez escolar (6 a 11 años aprox.),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,1977,2018,2019-11
611131,Escuelas de educación secundaria general del sector privado,Secundaria general,Adolescencia (12 a 14 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,97,2018,2019-11
611132,Escuelas de educación secundaria general del sector público,Secundaria general,Adolescencia (12 a 14 años aprox.),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,611,2018,2019-11
611141,Escuelas de educación secundaria técnica del sector privado,Secundaria técnica,Adolescencia (12 a 14 años aprox.),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,9,2018,2019-11
611142,Escuelas de educación secundaria técnica del sector público,Secundaria técnica,Adolescencia (12 a 14 años aprox.),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,178,2018,2019-11
611151,Escuelas de educación media técnica terminal del sector privado,Educación técnica terminal para adolescentes,Adolescencia (15 a 17 años aprox.; puede incluir mayores),Privado,Complementario,Directa por código,Código SCIAN de educación para adolescencias,52,2018,2019-11
611152,Escuelas de educación media técnica terminal del sector público,Educación técnica terminal para adolescentes,Adolescencia (15 a 17 años aprox.; puede incluir mayores),Público,Complementario,Directa por código,Código SCIAN de educación para adolescencias,3,2018,2019-11
611161,Escuelas de educación media superior del sector privado,Educación media superior,Adolescencia (15 a 17 años aprox.; puede incluir mayores),Privado,Complementario,Directa por código,Código SCIAN de educación para adolescencias,141,2018,2019-11
611162,Escuelas de educación media superior del sector público,Educación media superior,Adolescencia (15 a 17 años aprox.; puede incluir mayores),Público,Complementario,Directa por código,Código SCIAN de educación para adolescencias,199,2018,2019-11
611171,Escuelas del sector privado que combinan diversos niveles de educación,Escuela con varios niveles educativos,Niñez y adolescencia (edad exacta no especificada),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,741,2018,2019-11
611172,Escuelas del sector público que combinan diversos niveles de educación,Escuela con varios niveles educativos,Niñez y adolescencia (edad exacta no especificada),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,146,2018,2019-11
611181,Escuelas del sector privado de educación para necesidades especiales,Educación especial,Niñez y adolescencia (edad exacta no especificada),Privado,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,76,2018,2019-11
611182,Escuelas del sector público de educación para necesidades especiales,Educación especial,Niñez y adolescencia (edad exacta no especificada),Público,Principal,Directa por código,Código SCIAN principal de educación o cuidado infantil,308,2018,2019-11
611421,Escuelas de computación del sector privado,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2019-11
611512,Escuelas del sector público dedicadas a la enseñanza de oficios,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2019-11
611611,Escuelas de arte del sector privado,Escuela de arte,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",539,2018,2019-11
611611,Escuelas de arte del sector privado,Escuela de arte,Probable adolescencia; verificar,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",1,2018,2019-11
611612,Escuelas de arte del sector público,Escuela de arte,Edades mixtas o no especificadas,Público,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",41,2018,2019-11
611612,Escuelas de arte del sector público,Escuela de arte,Probable primera infancia; verificar,Público,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",1,2018,2019-11
611621,Escuelas de deporte del sector privado,Escuela de deporte,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",456,2018,2019-11
611621,Escuelas de deporte del sector privado,Escuela de deporte,Probable primera infancia; verificar,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",1,2018,2019-11
611622,Escuelas de deporte del sector público,Escuela de deporte,Edades mixtas o no especificadas,Público,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",42,2018,2019-11
611631,Escuelas de idiomas del sector privado,Escuela de idiomas,Edades mixtas o no especificadas,Privado,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",314,2018,2019-11
611632,Escuelas de idiomas del sector público,Escuela de idiomas,Edades mixtas o no especificadas,Público,Complementario,Mixta por código,"Código SCIAN de formación artística, deportiva o de idiomas",6,2018,2019-11
611691,Servicios de profesores particulares,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,182,2018,2019-11
611691,Servicios de profesores particulares,Otro servicio educativo para infancias (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,10,2018,2019-11
611698,Otros servicios educativos proporcionados por el sector privado,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2019-11
611699,Otros servicios educativos proporcionados por el sector público,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2019-11
611710,Servicios de apoyo a la educación,Otro servicio educativo para infancias (por nombre),Probable niñez o adolescencia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2019-11
611710,Servicios de apoyo a la educación,Otro servicio educativo para infancias (por nombre),Probable primera infancia; verificar,No especificado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2019-11
623991,Orfanatos y otras residencias de asistencia social del sector privado,Residencia o casa hogar para infancias (por nombre),Probable niñez o adolescencia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,32,2018,2019-11
623991,Orfanatos y otras residencias de asistencia social del sector privado,Residencia o casa hogar para infancias (por nombre),Probable primera infancia; verificar,Privado,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,2,2018,2019-11
623992,Orfanatos y otras residencias de asistencia social del sector público,Residencia o casa hogar para infancias (por nombre),Probable adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,1,2018,2019-11
623992,Orfanatos y otras residencias de asistencia social del sector público,Residencia o casa hogar para infancias (por nombre),Probable niñez o adolescencia; verificar,Público,Complementario,Probable por palabras,Clase SCIAN amplia más palabra exacta de infancias,4,2018,2019-11
