codigo_scian,categoria_proyecto,subcategoria,sector,alcance,registros,requiere_revision_por_codigo,justificacion
713941,Gimnasios y espacios deportivos,Club deportivo,Privado,Principal,55,NO,Código explícito en Dataton.pdf
713942,Gimnasios y espacios deportivos,Club deportivo,Público,Principal,10,NO,Código explícito en Dataton.pdf
713943,Gimnasios y espacios deportivos,Centro de acondicionamiento físico,Privado,Principal,2008,NO,Código explícito en Dataton.pdf
713944,Gimnasios y espacios deportivos,Centro de acondicionamiento físico,Público,Principal,267,NO,Código explícito en Dataton.pdf
611621,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,637,NO,Complementa una categoría seleccionada en la propuesta
611622,Gimnasios y espacios deportivos,Escuela de deporte,Público,Complementario,40,NO,Complementa una categoría seleccionada en la propuesta
623311,Servicios para personas adultas mayores,Asilo o residencia para el cuidado de personas mayores,Privado,Complementario,88,NO,Complementa una categoría seleccionada en la propuesta
623312,Servicios para personas adultas mayores,Asilo o residencia para el cuidado de personas mayores,Público,Complementario,21,NO,Complementa una categoría seleccionada en la propuesta
624121,Servicios para personas adultas mayores,Centro de cuidado diurno para ancianos o personas con discapacidad,Privado,Complementario,22,SI,Complementa una categoría seleccionada en la propuesta
624122,Servicios para personas adultas mayores,Centro de cuidado diurno para ancianos o personas con discapacidad,Público,Complementario,104,SI,Complementa una categoría seleccionada en la propuesta
