edicion_denue,anio_denue,mes_denue,categoria_proyecto,subcategoria_proyecto,sector_gestion,alcance_analitico,revision_manual,motivo_revision,cve_geo_ageb,id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
2026-05,2026,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900200010472,8000428,09002713943000961000000000U9,CLASES DE YOGA SHADDAI,,611621,Escuelas de deporte del sector privado,0 a 5 personas,AVENIDA,AZCAPOTZALCO,CALLE,AQUILES ELORDUY,CALLE,5 DE FEBRERO,CERRADA,PRIMERA AQUILES ELORDUY,431,A,,,,,COLONIA,DEL RECREO,,,,02070,09,Ciudad de México,002,Azcapotzalco,0001,Azcapotzalco,0472,002,5518371447,,,Fijo,19.4742882400000000,-99.187133420000000,2019-11
2026-05,2026,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901600010957,8228345,09016713943001311010000000U6,CLASES DE YOGA SAMADHI STUDIO,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,CERRADA MONTE LIBANO,CALLE,MONTE ATHOS,CALLE,MONTE LIBANO,CALLE,MONTE EVEREST,2,,,,,,COLONIA,LOMAS DE CHAPULTEPEC VI SECCIÓN,,,,11000,09,Ciudad de México,016,Miguel Hidalgo,0001,Miguel Hidalgo,0957,003,,,WWW.SAMADHIYOGA.MX,Fijo,19.4188734400000000,-99.215008350000000,2019-11
2026-05,2026,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900400010053,10133740,09004611621000351000000000U4,CLASES DE YOGA Y CLASES DE KARATE,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,PASTORES,CALLE,NAVIDAD,CALLE,CONSTITUYENTE HECTOR VICTORIA,CALLE,GASPAR,185,2DO NIVEL,,,,,COLONIA,GRANJAS NAVIDAD,,,,05219,09,Ciudad de México,004,Cuajimalpa de Morelos,0001,Cuajimalpa de Morelos,0053,008,5540489537,,,Fijo,19.3731463400000000,-99.285407540000000,2024-11
2026-05,2026,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901600010957,769456,09016611621000283001000000U3,CLASES DE YOGA CENTER,YOGA CENTER,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,MONTE ATHOS,CALLE,MONTE HIMALAYA,CALLE,MONTE EVEREST,CALLE,PRADO SUR,385,,,,,,COLONIA,LOMAS DE CHAPULTEPEC VI SECCIÓN,,,,11000,09,Ciudad de México,016,Miguel Hidalgo,0001,Miguel Hidalgo,0957,001,5555206895,PERLA@YOGACENTER.COM.MX,,Fijo,19.4189918500000000,-99.214846830000000,2010-07
2026-05,2026,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901200010229,7804870,09012611621000771000000000U6,CLASES DE YOGA CASA NAIA,CASA NAIA,611621,Escuelas de deporte del sector privado,0 a 5 personas,AVENIDA,DIVISION DEL NORTE,CALLE,NINGUNO,CALLE,HACIENDA DE LA ESCALERA,CALLE,HACIENDA DE SAN JOSE DE VISTA HERMOSA,4359,,,,,,COLONIA,PRADO COAPA SEGUNDA SECCIÓN,,,,14300,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,0229,011,5532132240,,,Fijo,19.2967680800000000,-99.131327030000000,2019-11
2026-05,2026,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901600010656,10827234,09016713943001661000000000U4,CLASES DE YOGA HENKO,,611621,Escuelas de deporte del sector privado,0 a 5 personas,AVENIDA,HORACIO,CALLE,TEMISTOCLES,CALLE,GALILEO,AVENIDA,PRESIDENTE MASARYK,632,,,,,,COLONIA,POLANCO IV SECCIÓN,,,,11560,09,Ciudad de México,016,Miguel Hidalgo,0001,Miguel Hidalgo,0656,012,,,,Fijo,19.4335039100000000,-99.192406810000000,2024-11
2026-05,2026,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901000010101,8564033,09010611621000641000000000U5,CLASES DE YOGA CENTRO SOCIAL UNIDAD MOLINO DE SANTO DOMINGO,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,PARALELA 7,ANDADOR,ANDADOR DEL HIERRO,CALLE,LOS POSTES,CALLE,LOS POSTES,1,,,,,,COLONIA,MOLINO DE SANTO DOMINGO,,,,01130,09,Ciudad de México,010,Álvaro Obregón,0001,Álvaro Obregón,0101,024,,,,Fijo,19.3931589600000000,-99.202605380000000,2019-11
2026-05,2026,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,090100001135A,7299226,09010713943001571000000000U8,CLASES DE YOGA,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,CERRADA FRAY BARTOLOME DE LAS CASAS,CALLE,SANTA MARIA,CERRADA,FRAY BARTOLOME,AVENIDA,DESIERTO DE LOS LEONES,22,B,,,,,PUEBLO,SANTA ROSA XOCHIAC,,,,01830,09,Ciudad de México,010,Álvaro Obregón,0001,Álvaro Obregón,135A,006,,,,Fijo,19.3279693100000000,-99.283704750000000,2019-11
2026-05,2026,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901700010263,650519,09017611621000071000000000U0,CLASES DE YOGA,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,YESEROS,CALLE,ROTOGRABADO,CALLE,MARMOLERIA,CALLE,PAILEROS,36,,,,,,COLONIA,20 DE NOVIEMBRE,,,,15300,09,Ciudad de México,017,Venustiano Carranza,0001,Venustiano Carranza,0263,006,,,,Fijo,19.4411213300000000,-99.111221140000000,2010-07
2026-05,2026,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,090050001060A,8679843,09005713943003081000000000U6,CLASES DE YOGA ABHYASA,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,PINAR DEL RIO,CALLE,RAMIRIQUI,CALLE,MANIZALES,CALLE,AVELLANEDA,225,,,,,,COLONIA,RESIDENCIAL ZACATENCO,,,,07369,09,Ciudad de México,005,Gustavo A. Madero,0001,Gustavo A. Madero,060A,008,,,,Fijo,19.5060292300000000,-99.125163870000000,2019-11
2026-05,2026,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901600010976,10023805,09016611621000593000000000U5,CLASES DE YOGA,BLANCO YOGA,611621,Escuelas de deporte del sector privado,11 a 30 personas,CALLE,MONTE ATHOS,CALLE,PRADO SUR,AVENIDA,EXPLANADA,CALLE,MONTE ATHOS,109,,,,,,COLONIA,LOMAS DE CHAPULTEPEC IV SECCIÓN,,,,11000,09,Ciudad de México,016,Miguel Hidalgo,0001,Miguel Hidalgo,0976,004,,,WWW.BLANCOYOGA.COM,Fijo,19.4210869300000000,-99.209608570000000,2024-11
2026-05,2026,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900700015003,9784402,09007611621002331000000000U7,CLASES DE YOGA,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,REFORMA EJECUTIVA,CALLE,REFORMA SOCIAL,OTRO(ESPECIFIQUE),NINGUNO,AVENIDA,INSURGENTES,30,MZ LT 3,,,,,COLONIA,REFORMA POLÍTICA,,,,09730,09,Ciudad de México,007,Iztapalapa,0001,Iztapalapa,5003,001,,,,Fijo,19.3405446400000000,-99.028793180000000,2024-11
2026-05,2026,5,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901200010958,8603434,09012713943001781000000000U9,CLASES DE YOGA,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,MARIANO MATAMOROS,CALLE,JOJUTLA,CALLE,HERMENEGILDO GALEANA,CALLE,MAGISTERIO NACIONAL,191,,,,,,COLONIA,TLALPAN CENTRO,,,,14000,09,Ciudad de México,012,Tlalpan,0001,Tlalpan,0958,011,,,,Fijo,19.2843582000000000,-99.165081270000000,2019-11
