id_denue,clee,nombre_establecimiento,nombre_normalizado,razon_social,codigo_scian,actividad_scian,categoria_enfoque,subcategoria,sector,es_oferta_deportiva,es_gimnasio_acondicionamiento,es_club_deportivo,es_servicio_adulto_mayor,mencion_explicita_adulto_mayor,terminos_adulto_mayor,criterio_adulto_mayor,requiere_revision_manual,motivo_revision,posible_duplicado_nombre_coordenadas,personal_ocupado,tipo_vialidad,nombre_vialidad,numero_exterior,letra_exterior,numero_interior,letra_interior,direccion_limpia,tipo_asentamiento,asentamiento,codigo_postal,codigo_postal_valido,clave_entidad,entidad,clave_alcaldia,alcaldia,clave_localidad,localidad,ageb,manzana,clave_municipio,clave_ageb,clave_manzana,latitud,longitud,coordenadas_validas,telefono,correo_electronico,sitio_web,tipo_unidad_economica,fecha_alta_denue,anio_alta_denue,mes_alta_denue,anio_datos,mes_corte,edicion_denue
905699,,CLUB ARCOIRIS DE LA TERCERA EDAD,CLUB ARCOIRIS DE LA TERCERA EDAD,CLUB ARCOIRIS DE LA TERCERA EDAD,713941,Clubes deportivos del sector privado,oferta_deportiva|servicio_adulto_mayor,club_deportivo,privado,1,0,1,1,1,TERCERA EDAD,palabra_clave,1,palabra_clave_sin_codigo_scian_directo,0,0 a 5 personas,PRIVADA,NINGUNO,30,,,SN,PRIVADA NINGUNO 30 INT SN CONJUNTO HABITACIONAL COPILCO UNIVERSIDAD 04360,CONJUNTO HABITACIONAL,COPILCO UNIVERSIDAD,04360,1,09,CIUDAD DE MÃ‰XICO,003,CoyoacÃ¡n,0001,CoyoacÃ¡n,0376,022,09003,0900300010376,0900300010376022,19.3394021,-99.18569924,1,,,,Fijo,DICIEMBRE 2014,,,2020,11,2020-11
778929,,CLUB ECOLÃ“GICO DE ADULTOS MAYORES PABLO NERUDA,CLUB ECOLA GICO DE ADULTOS MAYORES PABLO NERUDA,DELEGACIÃ“N GUSTAVO A MADERO,713942,Clubes deportivos del sector pÃºblico,oferta_deportiva|servicio_adulto_mayor,club_deportivo,publico,1,0,1,1,1,ADULTOS MAYORES,palabra_clave,1,palabra_clave_sin_codigo_scian_directo,0,6 a 10 personas,CALLE,NORTE 9,0,SN,,,CALLE NORTE 9 0 SN COLONIA MAGDALENA DE LAS SALINAS 07760,COLONIA,MAGDALENA DE LAS SALINAS,07760,1,09,CIUDAD DE MÃ‰XICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,1383,008,09005,0900500011383,0900500011383008,19.47865495,-99.14477245,1,,,,Fijo,JULIO 2010,,,2020,11,2020-11
684022,,"ASILO DE ANCIANOS LA DE MONINA, A.C.",ASILO DE ANCIANOS LA DE MONINA A C,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,servicio_adulto_mayor,residencia_cuidado,privado,0,0,0,1,1,ANCIANO|ANCIANOS,codigo_scian_y_palabra_clave,0,,0,0 a 5 personas,CALLE,NORTE 89-A,501,,,,CALLE NORTE 89-A 501 COLONIA SINDICATO MEXICANO DE LOS ELECTRICISTAS 02660,COLONIA,SINDICATO MEXICANO DE LOS ELECTRICISTAS,02660,1,09,CIUDAD DE MÃ‰XICO,002,Azcapotzalco,0001,Azcapotzalco,0491,004,09002,0900200010491,0900200010491004,19.47718164,-99.1793498,1,5563635286,lacasademonina@outlook.com,,Fijo,DICIEMBRE 2014,,,2020,11,2020-11
741341,,CASA DEL ADULTO MAYOR DE LA DELEGACIÃ“N AZCAPOTZALCO,CASA DEL ADULTO MAYOR DE LA DELEGACIA N AZCAPOTZALCO,GDF,624122,Centros del sector pÃºblico dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,servicio_adulto_mayor,centro_cuidado_diurno,publico,0,0,0,1,1,ADULTO MAYOR,codigo_scian_y_palabra_clave,0,,0,0 a 5 personas,AVENIDA,TLATILCO,0,SN,,,AVENIDA TLATILCO 0 SN COLONIA TLATILCO 02860,COLONIA,TLATILCO,02860,1,09,CIUDAD DE MÃ‰XICO,002,Azcapotzalco,0001,Azcapotzalco,0858,033,09002,0900200010858,0900200010858033,19.45944832,-99.16438595,1,,,,Fijo,JULIO 2010,,,2020,11,2020-11
739148,,CENTRO DE DÃ�A NUEVA SANTA MARÃ�A,CENTRO DE DA A NUEVA SANTA MARA A,INSTITUTO MEXICANO DEL SEGURO SOCIAL,624122,Centros del sector pÃºblico dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,servicio_adulto_mayor,centro_cuidado_diurno,publico,0,0,0,1,0,,codigo_scian,0,,0,11 a 30 personas,AVENIDA,DE LOS MAESTROS,0,SN,,,AVENIDA DE LOS MAESTROS 0 SN COLONIA NUEVA SANTA MARIA 02800,COLONIA,NUEVA SANTA MARIA,02800,1,09,CIUDAD DE MÃ‰XICO,002,Azcapotzalco,0001,Azcapotzalco,0843,021,09002,0900200010843,0900200010843021,19.4613787,-99.16535359,1,5526318416,minerva_459@hotmail.com,,Fijo,JULIO 2010,,,2020,11,2020-11
683216,,CENTRO GERANTOLOGICO VICENTE GARCIA TORRES,CENTRO GERANTOLOGICO VICENTE GARCIA TORRES,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,623312,Asilos y otras residencias del sector pÃºblico para el cuidado de ancianos,servicio_adulto_mayor,residencia_cuidado,publico,0,0,0,1,0,,codigo_scian,0,,0,101 a 250 personas,AVENIDA,AZCAPOTZALCO,59,,,,AVENIDA AZCAPOTZALCO 59 COLONIA SAN ALVARO 02090,COLONIA,SAN ALVARO,02090,1,09,CIUDAD DE MÃ‰XICO,002,Azcapotzalco,0001,Azcapotzalco,0792,011,09002,0900200010792,0900200010792011,19.46093076,-99.18839034,1,5530032200,rodolfo.carrasco@dif.gob.mx,WWW.DIF.GOB.MX,Fijo,DICIEMBRE 2014,,,2020,11,2020-11
682033,,GRUPO UNIDAD HABITACIONAL VILLAS AZCAPOTZALCO,GRUPO UNIDAD HABITACIONAL VILLAS AZCAPOTZALCO,GRUPO UNIDAD HABITACIONAL VILLAS AZCAPOTZALCO,624121,Centros del sector privado dedicados a la atenciÃ³n y cuidado diurno de ancianos y discapacitados,servicio_adulto_mayor,centro_cuidado_diurno,privado,0,0,0,1,0,,codigo_scian,0,,0,6 a 10 personas,CALLE,CRISTÃ“BAL COLÃ“N,0,SN,,,CALLE CRISTÃ“BAL COLÃ“N 0 SN COLONIA SANTO DOMINGO 02160,COLONIA,SANTO DOMINGO,02160,1,09,CIUDAD DE MÃ‰XICO,002,Azcapotzalco,0001,Azcapotzalco,028A,005,09002,090020001028A,090020001028A005,19.49064645,-99.19365355,1,,,,Fijo,DICIEMBRE 2014,,,2020,11,2020-11
667589,,NSTITUCIÃ“N DE ASISTENCIA CASA BETTI,NSTITUCIA N DE ASISTENCIA CASA BETTI,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,servicio_adulto_mayor,residencia_cuidado,privado,0,0,0,1,0,,codigo_scian,0,,0,11 a 30 personas,CALLE,SAN SEBASTIÃ�N,82,,,,CALLE SAN SEBASTIÃ�N 82 COLONIA SANTA MARIA MALINALCO 02050,COLONIA,SANTA MARIA MALINALCO,02050,1,09,CIUDAD DE MÃ‰XICO,002,Azcapotzalco,0001,Azcapotzalco,0345,005,09002,0900200010345,0900200010345005,19.48092763,-99.1805378,1,5550164902,,,Fijo,JULIO 2010,,,2020,11,2020-11
6258983,,RESIDENCIA TEODORO GILDRED,RESIDENCIA TEODORO GILDRED,FUNDACION BRINGAS HAGHENBECK IAP,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,servicio_adulto_mayor,residencia_cuidado,privado,0,0,0,1,0,,codigo_scian,0,,0,31 a 50 personas,CALLE,SAN SEBASTIÃ�N,110,,,,CALLE SAN SEBASTIÃ�N 110 COLONIA BARRIO SAN SEBASTIÃ�N 02040,COLONIA,BARRIO SAN SEBASTIÃ�N,02040,1,09,CIUDAD DE MÃ‰XICO,002,Azcapotzalco,0001,Azcapotzalco,0345,005,09002,0900200010345,0900200010345005,19.48065411,-99.17966701,1,,,,Fijo,DICIEMBRE 2014,,,2020,11,2020-11
658173,,TERCER HOGAR,TERCER HOGAR,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,servicio_adulto_mayor,residencia_cuidado,privado,0,0,0,1,0,,codigo_scian,0,,0,6 a 10 personas,CALLE,IGNACIO ALLENDE,286,,,,CALLE IGNACIO ALLENDE 286 COLONIA CLAVERIA 02080,COLONIA,CLAVERIA,02080,1,09,CIUDAD DE MÃ‰XICO,002,Azcapotzalco,0001,Azcapotzalco,0699,002,09002,0900200010699,0900200010699002,19.46902915,-99.17902126,1,5553964587,,,Fijo,MARZO 2011,,,2020,11,2020-11
870866,,ALBERGUE ALABAMA,ALBERGUE ALABAMA,,623312,Asilos y otras residencias del sector pÃºblico para el cuidado de ancianos,servicio_adulto_mayor,residencia_cuidado,publico,0,0,0,1,0,,codigo_scian,0,,0,11 a 30 personas,CALLE,ALABAMA,17,,,,CALLE ALABAMA 17 COLONIA NÃ�POLES 03810,COLONIA,NÃ�POLES,03810,1,09,CIUDAD DE MÃ‰XICO,014,Benito JuÃ¡rez,0001,Benito JuÃ¡rez,0384,011,09014,0901400010384,0901400010384011,19.39134258,-99.17410291,1,5556694814,,,Fijo,JULIO 2010,,,2020,11,2020-11
869108,,ALBERGUE NEBRASKA,ALBERGUE NEBRASKA,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES,623312,Asilos y otras residencias del sector pÃºblico para el cuidado de ancianos,servicio_adulto_mayor,residencia_cuidado,publico,0,0,0,1,1,ADULTAS MAYORES,codigo_scian_y_palabra_clave,0,,0,31 a 50 personas,CALLE,NEBRASKA,180,,,,CALLE NEBRASKA 180 COLONIA NÃ�POLES 03810,COLONIA,NÃ�POLES,03810,1,09,CIUDAD DE MÃ‰XICO,014,Benito JuÃ¡rez,0001,Benito JuÃ¡rez,0204,006,09014,0901400010204,0901400010204006,19.3953933,-99.17697671,1,5556822207,,,Fijo,JULIO 2010,,,2020,11,2020-11
6258405,,ANCIANOS QUE PRODUCEN,ANCIANOS QUE PRODUCEN,LOS SESENTA IAP,316991,"FabricaciÃ³n de bolsos de mano, maletas y similares",servicio_adulto_mayor,otro_con_mencion_adulto_mayor,no_determinado,0,0,0,1,1,ANCIANO|ANCIANOS,palabra_clave,1,palabra_clave_sin_codigo_scian_directo|codigo_postal_faltante_o_invalido,0,6 a 10 personas,CALLE,LEONARDO DA VINCI,185,,,,CALLE LEONARDO DA VINCI 185 COLONIA NONOALCO MIXCOAC 3910,COLONIA,NONOALCO MIXCOAC,3910,0,09,CIUDAD DE MÃ‰XICO,014,Benito JuÃ¡rez,0001,Benito JuÃ¡rez,0543,001,09014,0901400010543,0901400010543001,19.38169687,-99.19017668,1,,,,Fijo,JULIO 2010,,,2020,11,2020-11
901605,,ASILO LAS HACIENDAS DEL PILAR,ASILO LAS HACIENDAS DEL PILAR,"LAS HACIENDAS DEL PILAR, S.C.",623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,servicio_adulto_mayor,residencia_cuidado,privado,0,0,0,1,0,,codigo_scian,0,,0,11 a 30 personas,CALLE,RALPH ROEDER,824,,,,CALLE RALPH ROEDER 824 COLONIA IZTACCÃ�HUALT 03520,COLONIA,IZTACCÃ�HUALT,03520,1,09,CIUDAD DE MÃ‰XICO,014,Benito JuÃ¡rez,0001,Benito JuÃ¡rez,0312,009,09014,0901400010312,0901400010312009,19.3904203,-99.13397437,1,,,,Fijo,DICIEMBRE 2014,,,2020,11,2020-11
