id_denue,clee,nombre_establecimiento,nombre_normalizado,razon_social,codigo_scian,actividad_scian,categoria_enfoque,subcategoria,sector,es_oferta_deportiva,es_gimnasio_acondicionamiento,es_club_deportivo,es_servicio_adulto_mayor,mencion_explicita_adulto_mayor,terminos_adulto_mayor,criterio_adulto_mayor,requiere_revision_manual,motivo_revision,posible_duplicado_nombre_coordenadas,personal_ocupado,tipo_vialidad,nombre_vialidad,numero_exterior,letra_exterior,numero_interior,letra_interior,direccion_limpia,tipo_asentamiento,asentamiento,codigo_postal,codigo_postal_valido,clave_entidad,entidad,clave_alcaldia,alcaldia,clave_localidad,localidad,ageb,manzana,clave_municipio,clave_ageb,clave_manzana,latitud,longitud,coordenadas_validas,telefono,correo_electronico,sitio_web,tipo_unidad_economica,fecha_alta_denue,anio_alta_denue,mes_alta_denue,anio_datos,mes_corte,edicion_denue
8228321,,ACTIVE FITNESS,ACTIVE FITNESS,ACTIVE FITNESS SA DE CV,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,6 a 10 personas,AVENIDA,AQUILES SERDAN,400,,210,,AVENIDA AQUILES SERDAN 400 INT 210 BARRIO SANTA APOLONIA 02790,BARRIO,SANTA APOLONIA,02790,1,09,CIUDAD DE MÉXICO,002,Azcapotzalco,0001,Azcapotzalco,0472,017,09002,0900200010472,0900200010472017,19.47297007,-99.18943306,1,,,WWW.ACTIVEFITNESS.MX,Fijo,2019-11,2019,11,2020,11,2020-11
8646419,,BE FIT,BE FIT,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,FRANCISCO I. MADERO,0,SN,0,,CALLE FRANCISCO I. MADERO 0 SN INT 0 COLONIA LA PROVIDENCIA 02440,COLONIA,LA PROVIDENCIA,02440,1,09,CIUDAD DE MÉXICO,002,Azcapotzalco,0001,Azcapotzalco,0237,013,09002,0900200010237,0900200010237013,19.49321887,-99.21105578,1,,,,Fijo,2019-11,2019,11,2020,11,2020-11
9186159,,BODY BRITE,BODY BRITE,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,EGIPTO,142,,0,,CALLE EGIPTO 142 INT 0 COLONIA CLAVERIA 02080,COLONIA,CLAVERIA,02080,1,09,CIUDAD DE MÉXICO,002,Azcapotzalco,0001,Azcapotzalco,0805,023,09002,0900200010805,0900200010805023,19.46357933,-99.18210318,1,,,,Fijo,2019-11,2019,11,2020,11,2020-11
642812,,BULLY GYM,BULLY GYM,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,6 a 10 personas,AVENIDA,AQUILES SERDAN,360,,,,AVENIDA AQUILES SERDAN 360 COLONIA PASTEROS 02150,COLONIA,PASTEROS,02150,1,09,CIUDAD DE MÉXICO,002,Azcapotzalco,0001,Azcapotzalco,0190,031,09002,0900200010190,0900200010190031,19.49131121,-99.19562999,1,5553835620,,,Fijo,2010-07,2010,07,2020,11,2020-11
643273,,CAFETERIA PODEROSOS,CAFETERIA PODEROSOS,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,ZACAMIXTLE,147,,,,CALLE ZACAMIXTLE 147 COLONIA PETROLERA 02480,COLONIA,PETROLERA,02480,1,09,CIUDAD DE MÉXICO,002,Azcapotzalco,0001,Azcapotzalco,0434,021,09002,0900200010434,0900200010434021,19.48409444,-99.19816589,1,5520790575,,,Fijo,2010-07,2010,07,2020,11,2020-11
740864,,CENTRO DEPORTIVO VICTORIA DE LAS DEMOCRACIAS,CENTRO DEPORTIVO VICTORIA DE LAS DEMOCRACIAS,ALCALDIA AZCAPOTZALCO,713944,Centros de acondicionamiento físico del sector público,oferta_deportiva,acondicionamiento_fisico,publico,1,1,0,0,0,,no_aplica,0,,0,11 a 30 personas,CALLE,TORONJIL,0,SN,0,,CALLE TORONJIL 0 SN INT 0 COLONIA IGNACIO ALLENDE 02810,COLONIA,IGNACIO ALLENDE,02810,1,09,CIUDAD DE MÉXICO,002,Azcapotzalco,0001,Azcapotzalco,0542,036,09002,0900200010542,0900200010542036,19.46707747,-99.16296313,1,,,,Fijo,2010-07,2010,07,2020,11,2020-11
634315,,CENTRO DEPORTIVO XOCHINAHUAC,CENTRO DEPORTIVO XOCHINAHUAC,GOBIERNO DEL DISTRITO FEDERAL,713944,Centros de acondicionamiento físico del sector público,oferta_deportiva,acondicionamiento_fisico,publico,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,CANCAB,,SN,,,CALLE CANCAB SN UNIDAD HABITACIONAL SAN MARTÍN XOCHINAHUAC 02110,UNIDAD HABITACIONAL,SAN MARTÍN XOCHINAHUAC,02110,1,09,CIUDAD DE MÉXICO,002,Azcapotzalco,0001,Azcapotzalco,1127,032,09002,0900200011127,0900200011127032,19.50839693,-99.19199545,1,,,,Fijo,2010-07,2010,07,2020,11,2020-11
633550,,CENTRO SOCIAL CULTURAL Y DEPORTIVO VIDEOGRAFO,CENTRO SOCIAL CULTURAL Y DEPORTIVO VIDEOGRAFO,CENTRO SOCIAL CULTURAL Y DEPORTIVO VIDEOGRAFO AC,713941,Clubes deportivos del sector privado,oferta_deportiva,club_deportivo,privado,1,0,1,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,HIDROGENO,,SN,,,CALLE HIDROGENO SN COLONIA UNIDAD EL ROSARIO CTM 02100,COLONIA,UNIDAD EL ROSARIO CTM,02100,1,09,CIUDAD DE MÉXICO,002,Azcapotzalco,0001,Azcapotzalco,0044,001,09002,0900200010044,0900200010044001,19.50917765,-99.20147735,1,5519280930,,,Fijo,2010-07,2010,07,2020,11,2020-11
641573,,CENTROS DE ACONDICIONAMIENTO FÍSICO DEL SECTOR PRIVADO,CENTROS DE ACONDICIONAMIENTO FISICO DEL SECTOR PRIVADO,GYM BLACK BELL KBBM,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,GENERAL JOAQUIN AMARO,259,,,,CALLE GENERAL JOAQUIN AMARO 259 COLONIA AMPLIACION SAN PEDRO XALPA 02719,COLONIA,AMPLIACION SAN PEDRO XALPA,02719,1,09,CIUDAD DE MÉXICO,002,Azcapotzalco,0001,Azcapotzalco,0595,009,09002,0900200010595,0900200010595009,19.48361696,-99.2153737,1,5523091037,,,Fijo,2010-07,2010,07,2020,11,2020-11
7401192,,CLASES DE ZUMBA,CLASES DE ZUMBA,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,REY MAXTLA,157,,,,CALLE REY MAXTLA 157 BARRIO INDUSTRIAL SAN ANTONIO 02760,BARRIO,INDUSTRIAL SAN ANTONIO,02760,1,09,CIUDAD DE MÉXICO,002,Azcapotzalco,0001,Azcapotzalco,1023,028,09002,0900200011023,0900200011023028,19.47812799,-99.19290514,1,,,,Fijo,2019-11,2019,11,2020,11,2020-11
8182735,,CLASES DE ZUMBA,CLASES DE ZUMBA,,713943,Centros de acondicionamiento físico del sector privado,oferta_deportiva,acondicionamiento_fisico,privado,1,1,0,0,0,,no_aplica,0,,0,0 a 5 personas,CALLE,9,274,,0,,CALLE 9 274 INT 0 COLONIA ALDANA 02910,COLONIA,ALDANA,02910,1,09,CIUDAD DE MÉXICO,002,Azcapotzalco,0001,Azcapotzalco,0576,008,09002,0900200010576,0900200010576008,19.4717294,-99.14921694,1,,,,Fijo,2019-11,2019,11,2020,11,2020-11
