edicion_denue,anio_denue,mes_denue,categoria_proyecto,subcategoria_proyecto,sector_gestion,alcance_analitico,revision_manual,motivo_revision,cve_geo_ageb,id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
2022-11,2022,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900500011114,8209875,09005611621001261000000000U1,COLEGIO MEXICANO DE TERAPEUTAS PROFESIONALES,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,CALI,EJE VIAL,5 NORTE (MONTEVIDEO),CALLE,MONTIEL,CALLE,BOGOTÁ,635,,,,,,COLONIA,LINDAVISTA,,,,07300,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,1114,011,,,,Fijo,19.4871527300000000,-99.126700210000000,2019-11
2022-11,2022,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900600010310,709240,09006611621000301000000000U4,BUSHIDO SPORT KARATE,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,ORIENTE 229,CALLE,SUR 20,CALLE,SUR 16,CALLE,ORIENTE 221,379,,,,,,COLONIA,AGRICOLA ORIENTAL,,,,08500,09,CIUDAD DE MÉXICO,006,Iztacalco,0001,Iztacalco,0310,003,,SENSEI.LCAMPOS@HOTMAIL.COM,,Fijo,19.3939383800000000,-99.081481430000000,2014-12
2022-11,2022,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901600011226,777380,09016713943000372011000000U9,BUYUTSU CENTRO DE MEDITACIÓN Y MOVIMIENTO,BUYUTSU MEXICO,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,TOPÓGRAFOS,CALLE,5,AVENIDA,3,CALLE,NINGUNO,7,,,,0,,COLONIA,ESCANDON,,,,11800,09,CIUDAD DE MÉXICO,016,Miguel Hidalgo,0001,Miguel Hidalgo,1226,016,,BUYUTSUMX@GMAIL.COM,WWW.BUJUTSU.TV,Fijo,19.4004527300000000,-99.170674940000000,2010-07
2022-11,2022,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901500011483,8368255,09015713943001822000000000U4,BUENOS AIRES BOXING CLUB,,611621,Escuelas de deporte del sector privado,6 a 10 personas,VIADUCTO,PRESIDENTE MIGUEL ALEMAN,CALLE,DOCTOR AGUSTIN ANDRADE,CALLE,RENACIMIENTO,CALLE,DOCTOR IGNACIO BARAJAS LOZANO,81,,,,,,COLONIA,BUENOS AIRES,,,,06780,09,CIUDAD DE MÉXICO,015,Cuauhtémoc,0001,Cuauhtémoc,1483,004,,BAIRESBOXING@RAYONEGRO.COM,,Fijo,19.4042189000000000,-99.148197690000000,2019-11
2022-11,2022,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901000011523,7262696,09010611621000701000000000U7,BOX TAILANDES EN CENTRO COMUNITARIO GOLONDRINAS,,611621,Escuelas de deporte del sector privado,0 a 5 personas,AVENIDA,LOMAS DE CAPULA,CALLE,GOLONDRINA MUDA,CALLE,GOLONDRINA VIAJERA,CALLE,GOLONDRINA BLANCA,,SN,,,,,COLONIA,LAS GOLONDRINAS 1RA SECCION,,,,01270,09,CIUDAD DE MÉXICO,010,Álvaro Obregón,0001,Álvaro Obregón,1523,021,,,,Fijo,19.3803553400000000,-99.210413950000000,2019-11
2022-11,2022,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901400010079,6758498,09014713943001191010000000U7,BOXING PRO,BOXING PRO SA DE CV,611621,Escuelas de deporte del sector privado,0 a 5 personas,AVENIDA,DOCTOR JOSE MARIA VERTIZ,CALLE,ICACOS,CALLE,ESPERANZA,CALLE,PALENQUE,595,,,,,,COLONIA,NARVARTE ORIENTE,,,,03020,09,CIUDAD DE MÉXICO,014,Benito Juárez,0001,Benito Juárez,0079,002,,,,Fijo,19.3994227400000000,-99.150899770000000,2016-10
2022-11,2022,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900600010325,7268215,09006713943001141000000000U8,BOXEO,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,ORIENTE 237,CALLE,SUR 8,CALLE,SUR 12,EJE VIAL,5 ORIENTE (JAVIER ROJO GÓMEZ),,SN,,,,,COLONIA,AGRICOLA ORIENTAL,,,,08500,09,CIUDAD DE MÉXICO,006,Iztacalco,0001,Iztacalco,0325,014,,,,Fijo,19.3987373100000000,-99.075012720000000,2019-11
2022-11,2022,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0901500011286,900626,09015611621000571000000000U3,BOX,,611621,Escuelas de deporte del sector privado,0 a 5 personas,CALLE,JOSE ANTONIO TORRES,CALLE,JOSE MARIA ROA BARCENAS,CALLE,JUAN A. MATEOS,CALLE,JOSÉ MARÍA ROA BÁRCENAS,,SN,,,,,COLONIA,VISTA ALEGRE,,,,06860,09,CIUDAD DE MÉXICO,015,Cuauhtémoc,0001,Cuauhtémoc,1286,014,,,,Semifijo,19.4106540300000000,-99.133027500000000,2014-12
2022-11,2022,11,Gimnasios y espacios deportivos,Escuela de deporte,Privado,Complementario,NO,,0900500012112,805198,09005713944000011010000000U4,BOX,,611621,Escuelas de deporte del sector privado,0 a 5 personas,AVENIDA,503,EJE VIAL,3 NORTE (ÁNGEL ALBINO CORZO-ORIENTE 101),EJE VIAL,4 NORTE (AVENIDA 510),AVENIDA,503,,SN,EDIFICIO SIN NOMBRE,PLANTA BAJA,,SN,COLONIA,U. H. SAN JUAN DE ARAGON 1RA SECC,,,,07839,09,CIUDAD DE MÉXICO,005,Gustavo A. Madero,0001,Gustavo A. Madero,2112,001,,,,Fijo,19.4600637900000000,-99.095909220000000,2010-07
2022-11,2022,11,Gimnasios y espacios deportivos,Escuela de deporte,Público,Complementario,NO,,0900300011478,909173,09003713943001521010000000U8,BOX,CENTRO DE DESARROLLO COMUNITAARIO,611622,Escuelas de deporte del sector público,0 a 5 personas,CALLE,ROSARIO CASTELLANOS,ANDADOR,1 ROSARIO CASTELLANOS,ANDADOR,FRANCISCA GARCIA BATLE,OTRO (ESPECIFIQUE),NINGUNO,,SN,,,,,UNIDAD HABITACIONAL,CTM CULHUACAN,,,,04909,09,CIUDAD DE MÉXICO,003,Coyoacán,0001,Coyoacán,1478,002,,,,Fijo,19.3176254100000000,-99.103812310000000,2014-12
