CLAVE_ID,NOMBRE_PILARES*,ESTATUS,REGION,ALCALDIA,LATITUD,LONGITUD
001_NT_GAM,RICHARD WAGNER,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.46552,-99.129176
002_NT_AZC,XALLI,01. EN OPERACIÓN,NORTE,AZCAPOTZALCO,19.46423704,-99.15194467
003_PT_AOB,LA ARAÑA,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.36265,-99.240295
004_PT_AOB,EL CAPULIN,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.395614,-99.212233
005_PT_AOB,JALALPA TEPITO,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.374318,-99.236969
006_PT_CUM,CHIMALPA,01. EN OPERACIÓN,PONIENTE,CUAJIMALPA DE MORELOS,19.353062,-99.317566
007_NT_GAM,BENITA GALEANA,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.455286,-99.100512
008_NT_GAM,TLALPEXCO,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.544812,-99.125766
009_CO_IZT,JOSÉ MARTÍ,01. EN OPERACIÓN,CENTRO ORIENTE,IZTACALCO,19.39048,-99.121215
010_CO_IZT,AGRICOLA PANTITLAN,01. EN OPERACIÓN,CENTRO ORIENTE,IZTACALCO,19.41551309,-99.0683394
011_IZ_IZP,ACAHUALTEPEC,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.346043,-99.008134
012_IZ_IZP,GABRIELA MISTRAL,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.35998,-99.068819
013_CO_CUH,FRIDA KAHLO,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.4106,-99.144
014_CO_CUH,SAN SIMON TOLNAHUAC,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.461433,-99.14375
015_SU_TLH,ROSARIO CASTELLANOS,01. EN OPERACIÓN,SUR,TLAHUAC,19.278319,-99.007967
016_SU_TLH,GARCÍA LORCA,01. EN OPERACIÓN,SUR,TLAHUAC,19.31159,-99.036944
017_SP_MAC,HUAYATLA,01. EN OPERACIÓN,SUR PONIENTE,LA MAGDALENA CONTRERAS,19.30544674,-99.24849237
018_CO_CUH,ATLAMPA,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.460463,-99.160073
019_IZ_IZP,COOPEREMOS PUEBLO,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.341289,-99.040762
020_IZ_IZP,CENTRAL DE ABASTOS,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.373836,-99.099146
021_SP_COY,EMILIANO ZAPATA,01. EN OPERACIÓN,SUR PONIENTE,COYOACAN,19.32692481,-99.13787778
022_SP_COY,CANTERA,01. EN OPERACIÓN,SUR PONIENTE,COYOACAN,19.317944,-99.171981
023_SU_MIA,CUAUHTENCO,01. EN OPERACIÓN,SUR,MILPA ALTA,19.193876,-99.091524
024_PT_AOB,BELEN DE LAS FLORES,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.396861,-99.217406
025_SU_XOC,SAN GREGORIO ATLAPULCO,01. EN OPERACIÓN,SUR,XOCHIMILCO,19.256314,-99.060836
026_IZ_IZP,FACUNDO CABRAL,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.343614,-99.102431
027_IZ_IZP,CERRO DE LA ESTRELLA,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.345443,-99.081523
028_SU_XOC,SAN LUCAS XOCHIMANCA,01. EN OPERACIÓN,SUR,XOCHIMILCO,19.244316,-99.114246
029_SU_XOC,SANTA CECILIA,01. EN OPERACIÓN,SUR,XOCHIMILCO,19.216107,-99.099106
030_SU_XOC,SANTIAGO TEPALCATLALPAN,01. EN OPERACIÓN,SUR,XOCHIMILCO,19.247728,-99.127522
031_CO_IZT,ZAPATA VELA,01. EN OPERACIÓN,CENTRO ORIENTE,IZTACALCO,19.38245483,-99.09671609
032_SU_XOC,SAN FRANCISCO TLALNEPANTLA,01. EN OPERACIÓN,SUR,XOCHIMILCO,19.203271,-99.129225
033_SU_XOC,SANTIAGO TULYEHUALCO,01. EN OPERACIÓN,SUR,XOCHIMILCO,19.254388,-99.011498
034_CO_CUH,ZONA ROSA,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.424447,-99.165463
035_NT_AZC,MARGARITA MAZA DE JUAREZ,01. EN OPERACIÓN,NORTE,AZCAPOTZALCO,19.490142,-99.199114
036_NT_AZC,SAN MIGUEL AMANTLA,01. EN OPERACIÓN,NORTE,AZCAPOTZALCO,19.475268,-99.204372
037_PT_MIH,CANEGUÍN,01. EN OPERACIÓN,PONIENTE,MIGUEL HIDALGO,19.45478377,-99.2051239
038_SP_TLP,ECOGUARDAS,01. EN OPERACIÓN,SUR PONIENTE,TLALPAN,19.2710686,-99.2049895
039_SP_TLP,TIZIMÍN,01. EN OPERACIÓN,SUR PONIENTE,TLALPAN,19.2895422,-99.2164565
040_PT_AOB,SANTA FE,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.382712,-99.240346
041_PT_AOB,LA CUESTA,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.345656,-99.225719
042_PT_AOB,ISIDRO FABELA,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.386039,-99.2088
043_PT_AOB,ARBOL DEL CONOCIMIENTO,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.384272,-99.222057
044_PT_AOB,LOMAS DE LA ERA,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.325668,-99.259582
045_SU_TLH,PAULO FREIRE,01. EN OPERACIÓN,SUR,TLAHUAC,19.30596358,-99.05109654
046_SP_COY,VILLA PANAMERICANA,01. EN OPERACIÓN,SUR PONIENTE,COYOACAN,19.3077724,-99.173703
047_SP_COY,SANTA ÚRSULA,01. EN OPERACIÓN,SUR PONIENTE,COYOACAN,19.3098204,-99.156989
048_NT_AZC,SAN PEDRO XALPA,01. EN OPERACIÓN,NORTE,AZCAPOTZALCO,19.484135,-99.209489
049_SU_MIA,XALTIPAC,01. EN OPERACIÓN,SUR,MILPA ALTA,19.217081,-98.988892
050_CO_IZT,LA FORTALEZA,01. EN OPERACIÓN,CENTRO ORIENTE,IZTACALCO,19.388088,-99.091787
051_IZ_IZP,PALMITAS,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.3389643,-99.02606751
052_IZ_IZP,SAN MIGUEL TEOTONGO,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.3404005,-98.99265429
053_IZ_IZP,RENOVACIÓN,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.36948436,-99.0469656
054_CO_BEJ,MUNICIPIO LIBRE,01. EN OPERACIÓN,CENTRO ORIENTE,BENITO JUAREZ,19.36804401,-99.1415778
055_NT_GAM,CENTENARIO,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.50909375,-99.09072065
056_CO_CUH,GLORIETA DE LOS INSURGENTES,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.42336697,-99.16289151
057_SU_MIA,SAN PEDRO ATOCPAN,01. EN OPERACIÓN,SUR,MILPA ALTA,19.20263831,-99.05214901
058_SU_MIA,SAN BARTOLOMÉ XICOMULCO,01. EN OPERACIÓN,SUR,MILPA ALTA,19.20686557,-99.07113939
059_CO_IZT,ROJO GOMEZ,01. EN OPERACIÓN,CENTRO ORIENTE,IZTACALCO,19.40474645,-99.07100882
060_SU_XOC,16 DE SEPTIEMBRE,01. EN OPERACIÓN,SUR,XOCHIMILCO,19.28098435,-99.13733025
061_NT_AZC,LA NARANJA,01. EN OPERACIÓN,NORTE,AZCAPOTZALCO,19.47447222,-99.21851639
062_NT_AZC,XOCHINAHUAC,01. EN OPERACIÓN,NORTE,AZCAPOTZALCO,19.50986423,-99.18922889
063_PT_AOB,PRESIDENTES,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.377244,-99.221328
064_IZ_IZP,NOGAL,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.34206455,-99.02278332
065_IZ_IZP,TETECÓN,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.3224,-99.029
066_IZ_IZP,VILLA CID,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.3216828,-99.04248678
067_PT_AOB,SANTA LUCIA,01. EN OPERACIÓN,PONIENTE,ALVARO OBREGON,19.3687329,-99.2228381
068_IZ_IZP,YAUTLICA,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.33326161,-98.98393423
069_NT_GAM,100 METROS,01. EN OPERACIÓN,NORTE,GUSTAVO A. MADERO,19.52652299,-99.15889726
070_SU_TLH,MIXQUIC,01. EN OPERACIÓN,SUR,TLAHUAC,19.22624548,-98.95262915
071_CO_CUH,RIO TIBER,01. EN OPERACIÓN,CENTRO ORIENTE,CUAUHTEMOC,19.43275481,-99.17061276
072_IZ_IZP,PROGRESO SUR,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.35663539,-99.11280312
073_CO_VCA,AVENIDA DEL TALLER,01. EN OPERACIÓN,CENTRO ORIENTE,VENUSTIANO CARRANZA,19.41364004,-99.11304295
074_IZ_IZP,ESCUADRÓN 201,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.37009485,-99.1080226
075_IZ_IZP,SANTA CRUZ MEYEHUALCO,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.34870843,-99.04452266
076_IZ_IZP,PURÍSIMA,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.37914009,-99.10986649
077_IZ_IZP,CERRO AZÚL,01. EN OPERACIÓN,IZTAPALAPA,IZTAPALAPA,19.32604967,-99.02776001
078_PT_CUM,BENITO JUAREZ,01. EN OPERACIÓN,PONIENTE,CUAJIMALPA DE MORELOS,19.348256,-99.30927
079_SP_COY,SANTA ANA,01. EN OPERACIÓN,SUR PONIENTE,COYOACAN,19.32850044,-99.11413778
