Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Sector,Alcance,Regla de inclusión,Palabras clave detectadas,Es hospital,Es sanatorio (por nombre),Es clínica o consultorio,Es salud mental o psicológica,Es farmacia,Es residencia o cuidado,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
304692,683216,09002623312000016001018443S9,CASA HOGAR VICENTE GARCIA TORRES,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,101 a 250 personas,Fijo,Azcapotzalco,Azcapotzalco,SAN ALVARO,02090,1,AVENIDA,AZCAPOTZALCO,59,0900200010792,0792,011,19.46117074,-99.18835832,1,2014-12,2014,2018,2024,11,2024-11,denue_09_1124_shp.zip
324388,667589,09002623311000044001000000U3,INSTITUCION DE ASISTENCIA PRIVADA CASA BETTI,INSTITUCION DE ASISTENCIA PRIVADA CASA BETTI AC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,31 a 50 personas,Fijo,Azcapotzalco,Azcapotzalco,DEL MAESTRO SAN SEBASTIAN,02040,1,CALLE,SAN SEBASTIAN,82,0900200010345,0345,005,19.4809259,-99.18054447,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
324051,9300061,09002623311000054000000000U2,RESIDENCIA TEODORO GILDRED,FUNDACION BRINGAS HAGHENBECK IAP,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,31 a 50 personas,Fijo,Azcapotzalco,Azcapotzalco,DEL MAESTRO SAN SEBASTIAN,02040,1,CALLE,SAN SEBASTIAN,110,0900200010345,0345,005,19.48064681,-99.17967116,1,2020-11,2020,2018,2024,11,2024-11,denue_09_1124_shp.zip
322531,658173,09002623311000021000000000U1,TERCER HOGAR,TERCER HOGAR SC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Azcapotzalco,Azcapotzalco,CLAVERIA,02080,1,CALLE,IGNACIO ALLENDE,286,0900200010699,0699,002,19.46902595,-99.17902355,1,2011-03,2011,2018,2024,11,2024-11,denue_09_1124_shp.zip
303330,870866,09014623312000023000000000U0,ALBERGUE ALABAMA,INAPAM SEDESOL,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,NAPOLES,03810,1,CALLE,ALABAMA,17,0901400010384,0384,011,19.39133772,-99.17411197,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
303297,869108,09014623992000033001000000U8,ALBERGUE NEBRASKA,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,NAPOLES,03810,1,CALLE,NEBRASKA,180,0901400010204,0204,006,19.3953874,-99.17697863,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
309403,8539687,09014623311000262000000000U6,ASILO CASA DE LAS LUNAS VALLE,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,LETRAN VALLE,03650,1,CALLE,EDZNA,203,0901400010632,0632,012,19.37523199,-99.14979344,1,2019-11,2019,2018,2024,11,2024-11,denue_09_1124_shp.zip
300450,901605,09014623311000173000000000U5,CASA DE REPOSO,FUNDACION DOLORES BENEDET AC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,IZTACCIHUATL,03520,1,CALLE,RALPH ROEDER,2824,0901400010312,0312,009,19.39041876,-99.13397715,1,2014-12,2014,2018,2024,11,2024-11,denue_09_1124_shp.zip
300385,954093,09014623311000143001000000U8,CASA DEL ACTOR IAP MARIO MORENO,CASA DEL ACTOR MARIO MORENO AC,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,31 a 50 personas,Fijo,Benito Juárez,Benito Juárez,MIXCOAC,03910,1,CALLE,TIZIANO,34,0901400010685,0685,004,19.37380058,-99.19044972,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
304741,954990,09014623311000093000000000U5,CASA HOGAR CENTRO DE ATENCION GERIATRICA,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,SAN JUAN INSURGENTES,03900,1,CALLE,ACORDADA,62,0901400010897,0897,017,19.36862554,-99.18357732,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
304690,959818,09014623311000103001000000U2,CASA HOGAR UNGRANITO DE ARENA,UN GRANITO DE ARENA AC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,NERVARTEPONIENTE,03020,1,CALLE,NICOLAS SAN JUAN,515,0901400010257,0257,023,19.39365089,-99.16119148,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
320272,934690,09014623311000191001000000U7,ESTANCIA PARA ANCIANAS NUESTRA SEÑORA DE GUADALUPE,ESTANCIA PARA ANCIANAS NUESTRA SEÑORA DE GUADALUPE AC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,SAN JOSE INSURGENTES,03900,1,CALLE,CALLE DEL ANGEL,43,090140001090A,090A,020,19.36762921,-99.18408486,1,2014-12,2014,2018,2024,11,2024-11,denue_09_1124_shp.zip
324083,9523760,09014623311000282000000000M4,RESIDENCIA LOS ANGELES,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,RESIDENCIAL EMPERADORES,03320,1,PRIVADA,EMPERADORES,293,0901400010844,0844,015,19.36808726,-99.15869814,1,2024-11,2024,2018,2024,11,2024-11,denue_09_1124_shp.zip
324053,6317831,09014623991000155000000000U1,RESIDENCIA VILLAZUL,OPERADORA DE RESIDENCIAS SA DE CV,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,101 a 250 personas,Fijo,Benito Juárez,Benito Juárez,DEL VALLE NORTE,,0,CALLE,LA MORENA,415,090140001005A,005A,003,19.39875475,-99.16214724,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
324968,8539484,09014623311000242000000000S8,SOY ABUELO ASILO DE ANCIANOS,HOSPITAL UNIVERSIDAD SC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,NARVARTE PONIENTE,03020,1,CALLE,XOCHICALCO,368,0901400010261,0261,012,19.3881954,-99.15442051,1,2019-11,2019,2018,2024,11,2024-11,denue_09_1124_shp.zip
303341,989049,09003623992000053010000000U9,ALBERGUE GEMELOS,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES INAPAM,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Coyoacán,Coyoacán,PRADO CHURUBUSCO,04230,1,CALLE,GEMELOS,14,0900300010094,0094,013,19.35799111,-99.12887459,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
309392,9675637,09003623311000172000000000U0,ASILO RESIDENCIALES PASEOS,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Coyoacán,Coyoacán,CAMPESTRE CHURUBUSCO,04200,1,CALLE,CERRO DE LAS CAMPANAS,2,0900300010179,0179,018,19.34864998,-99.13321468,1,2024-11,2024,2018,2024,11,2024-11,denue_09_1124_shp.zip
300456,7924101,09003623311000101000000000M9,CASA DE REPOSO FARO MEXICO,CASA DE REPOSO FAVO MEXICO AC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,0 a 5 personas,Fijo,Coyoacán,Coyoacán,AVANTE,04460,1,EJE VIAL,1 ORIENTE AVENIDA CANAL DE MIRAMONTES,2158,0900300010713,0713,053,19.33207279,-99.13679,1,2019-11,2019,2018,2024,11,2024-11,denue_09_1124_shp.zip
300409,6316603,09003623991000084000026058S6,CASA DE REPOSO PARA ANCIANOS,ASOCIACION FRANCO MEXICANA SUIZA Y BELGA DE BENEFICENCIA IAP,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,31 a 50 personas,Fijo,Coyoacán,Coyoacán,DEL CARMEN,04000,1,CALLE,AYUNTAMIENTO,43,0900300010130,0130,019,19.35108956,-99.16797307,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
300413,972412,09003813230000212001000000U6,CASA DE REPOSO PARA PERSONAS DE LA TERCERA EL PARAISO DEL ABUELO,CRISTINA VELAZCO PEREZ AC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Coyoacán,Coyoacán,EDUCACION,04400,1,CALLE,AVENIDA 3,0,0900300010499,0499,001,19.33613136,-99.13675236,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
300364,909172,09003621331000591000000000U1,CASA DEL ADULTO MAYOR,VECINOS DE LA COLONIA CTM CULHUACAN SECCION 7A SC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,0 a 5 personas,Fijo,Coyoacán,Coyoacán,CULHUACAN CTM SECCION VIII,04909,1,CALLE,ROSARIO CASTELLANOS,0,0900300011478,1478,002,19.31748202,-99.10384552,1,2014-12,2014,2018,2024,11,2024-11,denue_09_1124_shp.zip
306333,9656200,09003623311000181000000000U1,CENTRO DE CUIDADOS PARA EL ADULTO MAYOR,CENTRO DE CUIDADOS SC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,0 a 5 personas,Fijo,Coyoacán,Coyoacán,AJUSCO,04300,1,CALLE,CORAS,0,0900300010817,0817,016,19.31595916,-99.16012007,1,2024-11,2024,2018,2024,11,2024-11,denue_09_1124_shp.zip
303856,6313444,09003623311000064002004254S9,CENTRO SANTA LUISA,FUNDACION DE OBRAS SOCIALES DE SAN VICENTE IAP INSTITUCION DE ASISTENCIA PRIVADA,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,101 a 250 personas,Fijo,Coyoacán,Coyoacán,SANTA CATARINA,,0,AVENIDA,FRANCISCO SOSA,320,0900300010111,0111,001,19.34754914,-99.17562441,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
308057,8582836,09003623311000122000000000U5,CON ESMERO Y CARIÑO,CON ESMEROY CARIÑO AC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Coyoacán,Coyoacán,PETROLERA TAXQUEÑA,04410,1,CALLE,AVENIDA 6,20,0900300010501,0501,038,19.33673102,-99.13253979,1,2019-11,2019,2018,2024,11,2024-11,denue_09_1124_shp.zip
320836,6315656,09003623311000074000004254M8,HOGAR SAN VICENTE,FUNDACION DE OBRAS SOCIALES DE SAN VICENTE INSTITUCION DE ASISTENCIA PRIVADA,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,31 a 50 personas,Fijo,Coyoacán,Coyoacán,SANTA CATARINA,,0,CERRADA,PEDREGAL,31,0900300010111,0111,001,19.34783918,-99.17553202,1,2014-12,2014,2018,2024,11,2024-11,denue_09_1124_shp.zip
323937,971474,09003621114000012000000000U8,INSTITUTO NACIONAL DE PERSONAS ADULTAS MAYORES,INSTITO NACIONAL DE LAS PERSONAS ADULTAS MAYORES SECRETARIA BIENESTAR SOCIAL,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Coyoacán,Coyoacán,CAMPESTRE CHURUBUSCO,04200,1,CALZADA,TAXQUEÑA,1465,0900300010319,0319,014,19.34070698,-99.13531018,1,2010-07,2010,2018,2024,11,2024-11,denue_09_1124_shp.zip
326985,9120832,09003623311000164000000000U7,LOS ANGELES PARA LA TERCERA EDAD,LOS ANGELES PARA LA TERCERA EDAD AC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Coyoacán,Coyoacán,SANTA CATARINA,04010,1,CERRADA,PEDREGAL,82,0900300010111,0111,001,19.34739516,-99.17579747,1,2019-11,2019,2018,2024,11,2024-11,denue_09_1124_shp.zip
