Código SCIAN,Actividad SCIAN encontrada,Subcategoría,Sector,Alcance,Regla de inclusión,Registros,Versión SCIAN declarada,Edición DENUE
464111,Farmacias sin minisúper,Farmacia sin minisúper,No especificado,Complementario,Código SCIAN de farmacia,6572,2018,2026-05
464112,Farmacias con minisúper,Farmacia con minisúper,No especificado,Complementario,Código SCIAN de farmacia,878,2018,2026-05
621111,Consultorios de medicina general del sector privado,Consultorio de medicina general,Privado,Principal,Prefijo SCIAN 621 o 622,2853,2018,2026-05
621112,Consultorios de medicina general del sector público,Consultorio de medicina general,Público,Principal,Prefijo SCIAN 621 o 622,127,2018,2026-05
621113,Consultorios de medicina especializada del sector privado,Consultorio de medicina especializada,Privado,Principal,Prefijo SCIAN 621 o 622,3195,2018,2026-05
621114,Consultorios de medicina especializada del sector público,Consultorio de medicina especializada,Público,Principal,Prefijo SCIAN 621 o 622,14,2018,2026-05
621115,Clínicas de consultorios médicos del sector privado,Clínica de consultorios médicos,Privado,Principal,Prefijo SCIAN 621 o 622,277,2018,2026-05
621116,Clínicas de consultorios médicos del sector público,Clínica de consultorios médicos,Público,Principal,Prefijo SCIAN 621 o 622,270,2018,2026-05
621211,Consultorios dentales del sector privado,Consultorio dental,Privado,Principal,Prefijo SCIAN 621 o 622,7420,2018,2026-05
621212,Consultorios dentales del sector público,Consultorio dental,Público,Principal,Prefijo SCIAN 621 o 622,47,2018,2026-05
621311,Consultorios de quiropráctica del sector privado,Quiropráctica,Privado,Principal,Prefijo SCIAN 621 o 622,423,2018,2026-05
621320,Consultorios de optometría,Optometría,No especificado,Principal,Prefijo SCIAN 621 o 622,660,2018,2026-05
621331,Consultorios de psicología del sector privado,Psicología,Privado,Principal,Prefijo SCIAN 621 o 622,753,2018,2026-05
621332,Consultorios de psicología del sector público,Psicología,Público,Principal,Prefijo SCIAN 621 o 622,21,2018,2026-05
621341,"Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje","Audiología y terapia ocupacional, física o del lenguaje",Privado,Principal,Prefijo SCIAN 621 o 622,536,2018,2026-05
621342,"Consultorios del sector público de audiología y de terapia ocupacional, física y del lenguaje","Audiología y terapia ocupacional, física o del lenguaje",Público,Principal,Prefijo SCIAN 621 o 622,23,2018,2026-05
621391,Consultorios de nutriólogos y dietistas del sector privado,Nutrición y dietética,Privado,Principal,Prefijo SCIAN 621 o 622,343,2018,2026-05
621398,Otros consultorios del sector privado para el cuidado de la salud,Otro consultorio para el cuidado de la salud,Privado,Principal,Prefijo SCIAN 621 o 622,1424,2018,2026-05
621399,Otros consultorios del sector público para el cuidado de la salud,Otro consultorio para el cuidado de la salud,Público,Principal,Prefijo SCIAN 621 o 622,12,2018,2026-05
621411,Centros de planificación familiar del sector privado,Centro de planificación familiar,Privado,Principal,Prefijo SCIAN 621 o 622,30,2018,2026-05
621412,Centros de planificación familiar del sector público,Centro de planificación familiar,Público,Principal,Prefijo SCIAN 621 o 622,1,2018,2026-05
621421,Centros del sector privado de atención médica externa para enfermos mentales y adictos,Atención ambulatoria de salud mental y adicciones,Privado,Principal,Prefijo SCIAN 621 o 622,43,2018,2026-05
621422,Centros del sector público de atención médica externa para enfermos mentales y adictos,Atención ambulatoria de salud mental y adicciones,Público,Principal,Prefijo SCIAN 621 o 622,17,2018,2026-05
621491,Otros centros del sector privado para la atención de pacientes que no requieren hospitalización,Otro centro de atención sin hospitalización,Privado,Principal,Prefijo SCIAN 621 o 622,51,2018,2026-05
621492,Otros centros del sector público para la atención de pacientes que no requieren hospitalización,Otro centro de atención sin hospitalización,Público,Principal,Prefijo SCIAN 621 o 622,3,2018,2026-05
621511,Laboratorios médicos y de diagnóstico del sector privado,Laboratorio médico y de diagnóstico,Privado,Principal,Prefijo SCIAN 621 o 622,823,2018,2026-05
621512,Laboratorios médicos y de diagnóstico del sector público,Laboratorio médico y de diagnóstico,Público,Principal,Prefijo SCIAN 621 o 622,6,2018,2026-05
621610,Servicios de enfermería a domicilio,Enfermería a domicilio,No especificado,Principal,Prefijo SCIAN 621 o 622,7,2018,2026-05
621910,Servicios de ambulancias,Ambulancias,No especificado,Principal,Prefijo SCIAN 621 o 622,18,2018,2026-05
621991,"Servicios de bancos de órganos, bancos de sangre y otros servicios auxiliares al tratamiento médico prestados por el sector privado","Banco de sangre, órganos u otro servicio auxiliar",Privado,Principal,Prefijo SCIAN 621 o 622,5,2018,2026-05
621992,"Servicios de bancos de órganos, bancos de sangre y otros servicios auxiliares al tratamiento médico prestados por el sector público","Banco de sangre, órganos u otro servicio auxiliar",Público,Principal,Prefijo SCIAN 621 o 622,3,2018,2026-05
622111,Hospitales generales del sector privado,Hospital general,Privado,Principal,Prefijo SCIAN 621 o 622,148,2018,2026-05
622112,Hospitales generales del sector público,Hospital general,Público,Principal,Prefijo SCIAN 621 o 622,122,2018,2026-05
622211,Hospitales psiquiátricos y para el tratamiento por adicción del sector privado,Hospital psiquiátrico y de tratamiento de adicciones,Privado,Principal,Prefijo SCIAN 621 o 622,9,2018,2026-05
622212,Hospitales psiquiátricos y para el tratamiento por adicción del sector público,Hospital psiquiátrico y de tratamiento de adicciones,Público,Principal,Prefijo SCIAN 621 o 622,5,2018,2026-05
622311,Hospitales del sector privado de otras especialidades médicas,Hospital de otra especialidad médica,Privado,Principal,Prefijo SCIAN 621 o 622,81,2018,2026-05
622312,Hospitales del sector público de otras especialidades médicas,Hospital de otra especialidad médica,Público,Principal,Prefijo SCIAN 621 o 622,24,2018,2026-05
623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales",Residencia con cuidados de enfermería,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,12,2018,2026-05
623112,"Residencias del sector público con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales",Residencia con cuidados de enfermería,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,4,2018,2026-05
623211,Residencias del sector privado para el cuidado de personas con problemas de retardo mental,Residencia para personas con discapacidad intelectual,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,17,2018,2026-05
623212,Residencias del sector público para el cuidado de personas con problemas de retardo mental,Residencia para personas con discapacidad intelectual,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,1,2018,2026-05
623221,Residencias del sector privado para el cuidado de personas con problemas de trastorno mental y adicción,Residencia para salud mental y adicciones,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,34,2018,2026-05
623222,Residencias del sector público para el cuidado de personas con problemas de trastorno mental y adicción,Residencia para salud mental y adicciones,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,11,2018,2026-05
623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,88,2018,2026-05
623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,21,2018,2026-05
624111,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector privado,Orientación o trabajo social relacionado con salud,Privado,Complementario,Código social amplio más palabra clave de salud,7,2018,2026-05
624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Orientación o trabajo social relacionado con salud,Público,Complementario,Código social amplio más palabra clave de salud,2,2018,2026-05
624121,Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados,Centro de cuidado diurno para personas mayores o con discapacidad,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,22,2018,2026-05
