llavemod,llaveviv,llavehog,activ_prod_con_cp,activ_prod_sin_cp,activ_merc,trab_merc_pv,tras_trab,bus_trab,prod_bien_trab_auto,trab_no_rem_vol,trab_no_rem_hog,prep_serv_alim,limp_viv,limp_rop,mant_viv,compras_hog,pagos_tram_hog,org_sup_hog,trab_no_rem_con_cp,trab_no_rem_cuid_hog,cuid_esp_int_hog_con_cp,cuid_esp_int_hog_sin_cp,cuid_int_0a5_con_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_con_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_con_cp,cuid_int_60mas_sin_cp,trab_no_rem_otros_hog,apoy_hog_fam,trab_dom_otros_hog_fam,cuid_esp_disc_enf,cuid_per_otros_hog,trab_no_rem_no_fam,prod_bien_hog_rural,prep_serv_alim_rural,activ_cuid_per,activ_estud,activ_conviv,edad,sexo,niv,gra,cvegeo_x,cve_ent_x,tloc_x,menor10,escolaridad,cond_ind,cond_disc,cond_aee,est_dis_x,upm_dis_x,fac_per,control,viv_sel,hogar,n_ren,cve_ent_y,cvegeo_y,tloc_y,est_dis_y,upm_dis_y,fac_viv
90002901101.0,90002901,900029011,32.75,12.75,0.0,0.0,0.0,0.0,0.0,32.75,12.75,6.0,2.16666666666666,1.0,0.0,3.0,0.0,0.58333333333333,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.75,6.0,37.5,67,1,8,5,9,9,1,2,4.0,2,2,3,73,1148,3165,900029,1,1,1,9,9,1,73,1148,3184
90002901102.0,90002901,900029011,75.78333333333333,65.78333333333333,45.0,40.0,5.0,0.0,0.0,30.78333333333333,20.78333333333333,14.0,2.5,2.0,0.0,2.0,0.16666666666666,0.11666666666666,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33333333333333,0.0,27.33333333333333,65,2,8,4,9,9,1,2,4.0,2,2,1,73,1148,3166,900029,1,1,2,9,9,1,73,1148,3184
90002902101.0,90002902,900029021,76.14999999999999,76.14999999999999,55.0,50.0,5.0,0.0,0.0,21.14999999999999,21.14999999999999,6.0,11.58333333333333,1.25,0.0,2.0,0.0,0.31666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,18.75,43,2,8,3,9,9,1,2,4.0,2,2,1,73,1148,3143,900029,2,1,1,9,9,1,73,1148,3184
90306103101.0,90306103,903061031,55.83333333333333,55.83333333333333,50.08333333333333,50.0,0.08333333333333,0.0,0.0,5.75,5.75,3.5,2.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,56.5,66,1,8,5,9,9,1,2,4.0,2,2,1,74,1178,5160,903061,3,1,1,9,9,1,74,1178,5198
90306103102.0,90306103,903061031,46.54999999999999,46.54999999999999,0.0,0.0,0.0,0.0,0.0,46.54999999999999,44.54999999999999,17.83333333333333,19.71666666666666,4.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,62.0,65,2,6,3,9,9,1,2,3.0,2,2,5,74,1178,5161,903061,3,1,2,9,9,1,74,1178,5198
90306103103.0,90306103,903061031,52.91666666666666,52.91666666666666,46.0,39.0,7.0,0.0,0.0,6.91666666666666,6.58333333333333,0.0,3.0,0.83333333333333,0.0,0.0,0.16666666666666,2.58333333333333,0.33333333333333,0.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333,0.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,66.0,37,1,8,4,9,9,1,2,4.0,2,2,1,74,1178,5199,903061,3,1,3,9,9,1,74,1178,5198
90306104101.0,90306104,903061041,92.91666666666666,92.91666666666666,80.5,70.0,10.5,0.0,0.0,12.41666666666666,5.41666666666666,1.16666666666666,0.0,0.66666666666666,0.0,2.0,0.41666666666666,1.16666666666666,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,41.66666666666666,25,1,8,4,9,9,1,2,4.0,2,2,1,74,1178,5246,903061,4,1,1,9,9,1,74,1178,5198
90306104102.0,90306104,903061041,93.5,93.5,63.0,54.0,9.0,0.0,0.0,30.5,25.5,12.5,8.0,3.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.5,0.0,56.66666666666666,25,2,8,4,9,9,1,2,4.0,2,2,1,74,1178,5159,903061,4,1,2,9,9,1,74,1178,5198
90306104103.0,90306104,903061041,96.0,96.0,45.0,36.0,9.0,0.0,1.0,50.0,42.0,16.0,15.5,4.5,0.25,1.5,0.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,66.5,0.0,48.66666666666666,23,2,8,4,9,9,1,2,4.0,2,2,1,74,1178,5220,903061,4,1,3,9,9,1,74,1178,5198
91583105102.0,91583105,915831051,75.75,75.75,27.0,15.0,12.0,0.0,0.0,48.75,43.75,18.5,14.66666666666666,2.0,0.0,6.0,2.0,0.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,37.5,52,2,6,3,9,9,1,2,3.0,2,2,1,74,1276,5308,915831,5,1,2,9,9,1,74,1276,5351
