Registro origen,ID,CLEE,Establecimiento,Razón social,Código SCIAN,Actividad SCIAN,Categoría del proyecto,Subcategoría,Sector,Alcance,Regla de inclusión,Palabras clave detectadas,Es hospital,Es sanatorio (por nombre),Es clínica o consultorio,Es salud mental o psicológica,Es farmacia,Es residencia o cuidado,Revisión manual,Motivo de revisión,Personal ocupado,Tipo de unidad económica,Alcaldía,Localidad,Asentamiento,Código postal,Código postal válido,Tipo de vialidad,Vialidad,Número exterior,Clave geográfica AGEB,AGEB,Manzana,Latitud,Longitud,Coordenadas válidas,Fecha de alta DENUE,Año de alta DENUE,Versión SCIAN declarada,Año de datos,Mes de corte,Edición DENUE,Archivo fuente
311227,8646288,09002623312000023000000000U5,CASA DE DIA DEL ADULTO MAYOR TLATILCO,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Azcapotzalco,Azcapotzalco,TLATILCO,02860,1,CALZADA,TLATILCO,33,0900200010858,0858,033,19.4594272,-99.16439062,1,2019-11,2019,2018,2021,11,2021-11,denue_09_1121_shp.zip
311696,683216,09002623312000016001000000U9,CASA HOGAR VICENTE GARCIA TORRES,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Azcapotzalco,Azcapotzalco,SAN ALVARO,02090,1,AVENIDA,AZCAPOTZALCO,59,0900200010792,0792,011,19.46117138,-99.18835253,1,2014-12,2014,2018,2021,11,2021-11,denue_09_1121_shp.zip
332209,667589,09002623311000044001000000U3,INSTITUCION DE ASISTENCIA PRIVADA CASA BETTI,INSTITUCION DE ASISTENCIA PRIVADA CASA BETTI,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,31 a 50 personas,Fijo,Azcapotzalco,Azcapotzalco,SAN SEBASTIAN,02040,1,CALLE,SAN SEBASTIAN,82,0900200010345,0345,005,19.48092762,-99.1805378,1,2010-07,2010,2018,2021,11,2021-11,denue_09_1121_shp.zip
334003,684022,09002623311000061000000000U7,LA DE MONINA,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,0 a 5 personas,Fijo,Azcapotzalco,Azcapotzalco,SANTA MARIA MALINALCO,02050,1,CALLE,NORTE 89-A,501,0900200010491,0491,004,19.47718164,-99.1793498,1,2014-12,2014,2018,2021,11,2021-11,denue_09_1121_shp.zip
338884,9300061,09002623311000054000000000U2,RESIDENCIA TEODORO GILDRED,FUNDACION BRINGAS HAGHENBECK IAP,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,SI,Código postal faltante o inválido,31 a 50 personas,Fijo,Azcapotzalco,Azcapotzalco,SAN SEBASTIAN,,0,CALLE,SAN SEBASTIAN,110,0900200010345,0345,005,19.48065411,-99.17966701,1,2020-11,2020,2018,2021,11,2021-11,denue_09_1121_shp.zip
330626,658173,09002623311000021000000000U1,TERCER HOGAR,TERCER HOGAR SC,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Azcapotzalco,Azcapotzalco,LOTERIA NACIONAL,02080,1,CALLE,IGNACIO ALLENDE,286,0900200010699,0699,002,19.46902915,-99.17902126,1,2011-03,2011,2018,2021,11,2021-11,denue_09_1121_shp.zip
312735,8539687,09014623311000262000000000U6,ACILO CASA DE LAS LUNAS VALLE,,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,6 a 10 personas,Fijo,Benito Juárez,Benito Juárez,LETRAN VALLE,03650,1,CALLE,EDZNA,203,0901400010632,0632,012,19.3752339,-99.14979167,1,2019-11,2019,2018,2021,11,2021-11,denue_09_1121_shp.zip
317343,870866,09014623312000023000000000U0,ALBERGUE ALABAMA,INAPAM SEDESOL,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,NAPOLES,03810,1,CALLE,ALABAMA,17,0901400010384,0384,011,19.39134258,-99.17410291,1,2010-07,2010,2018,2021,11,2021-11,denue_09_1121_shp.zip
317430,869108,09014623992000033001000000U8,ALBERGUE NEBRASKA,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES,623312,Asilos y otras residencias del sector público para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Público,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,NAPOLES,03810,1,CALLE,NEBRASKA,180,0901400010204,0204,006,19.3953933,-99.17697672,1,2010-07,2010,2018,2021,11,2021-11,denue_09_1121_shp.zip
311126,903987,09014623311000162001000000U8,CASA DE ADULTO MAYOR MERIDIA CENTROS DE DIA,SALUS CARE SOLUTIONS SAPI DE CV,623311,Asilos y otras residencias del sector privado para el cuidado de ancianos,Salud,Asilo o residencia para personas mayores,Privado,Complementario,Código SCIAN de residencia o asistencia relacionada,,0,0,0,0,0,1,NO,,11 a 30 personas,Fijo,Benito Juárez,Benito Juárez,DEL VALLE SUR,03100,1,CALLE,AMORES,1729,0901400010810,0810,010,19.3660164,-99.17089621,1,2014-12,2014,2018,2021,11,2021-11,denue_09_1121_shp.zip
